,dataset,image,ground_truth,qari,status
27,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1036x155 at 0x74BD84171DD0>,وَقَد ذَهَبَ بِعَضُّهُم إِلَى إِن العَرَبِيَّةِ الشَرْقِيَّةِ كانَت,ََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََ,success
28,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1189x132 at 0x74BD84170550>,الأَساسِيُّ لِلطاقَةِ وَمِنها تَسْتَمِدّ الأَرْضِ الحَرارَةِ الَّتِي تَحْتاجها,أساسيُ للطاقةِ وَمينها تَستَمَدُ الأَرضِ الحرارةِ اللَّتِي تَحتاجها,success
29,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1534x156 at 0x74BD841713D0>,مَعْهَدِ كونفوشيوس فِي جامِعَةِ قَناةِ السويس، أَقامَهُ مُنْتَدَى,نغبِدَ كَوَ نَفْوَمْيَوسَ فِي مِبَايِعَةِ قَناَةٍ السَوِيْس، أَقَاتِهُ مُتَّدَى,success
30,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1002x132 at 0x74BD84171A50>,سِتَّ وَعِشْرِينَ دَرَجَةِ غَرْباً وَاِثْنَتانِ وَثَلاثِينَ,بت ٠ وعْشْرِينَ فَرْجَةٍ غَزْباً وَاِثْتَانَ وَثْلَثِينَ,success
31,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1978x251 at 0x74BD84184B50>,فِي الفُرَصِ وَيَحِقّ لِلطُلّابِ ذَوِي المُتَطَلَّباتِ التَعْلِيمِيَّةِ الخاصَّةِ,في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد ويحق للطالب ذوى الفضاليايات النعيمية الخاصة في الفرحد,success
32,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=929x115 at 0x74BD841854D0>,وَذٰلِكَ بِمَدِينَة شانغْهاي تَبْلُغ سَعَة التَخْزِين لَقُرْص الأَشِعَّة,ودلَكَ بِدَبَنَة نشانعْهاَيْ تَبْلَعْ سَعَةَ التَّدْزِينَ أَمْرُصَنَ الَّنشَعَةَ ,success
33,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=613x123 at 0x74BD84184410>,إِلّا أَنَّهُ لَم يَتَمَكَّن مَعَ ذٰلِكَ مِن العَضّ,إِلَّاَ نَهَأَ لَمْ سَحَّمْنَ نَعَ زَلِيكَ مِن العَصْنِ ,success
34,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=234x99 at 0x74BD84185DD0>,الأُخْرَى,الأخى,success
35,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=881x134 at 0x74BD84185590>,أَمّا الكروم، فَقَد غَرَسَت فِي مَناطِقِ مِن الجَزِيرَةِ,أمّا الكروم، فَقَد غَرَسَت فِي مَنَاطَقٍ مِن الجَزِيرَة ,success
36,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=934x135 at 0x74BD84184A10>,التَرْبِيَةِ والتكوين، حَظِيَ بِدَعْمٍ قَوِيٍّ مِن قِبَلَ أَعْلَى,التَزْبِيَةِ والتكوين. حَظِيْ بِدَعْمِ قَوْيٌّ مِن قِبْلَ أَعْلَى ,success
37,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1045x153 at 0x74BD84187950>,الرِيفِيّات اللّاتِي عَمِلْنَ فِي المُدُنِ وَاللّاتِي لَم يُغادِرْنَ,الريفيّات اللّاتي عَمْنَ فِي المُدْنِ وَاللّاتي لَم يُغادِرَنَّ,success
38,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1322x444 at 0x74BD84187C90>,وَأَشارُوا فِي حَدِيثهم إِلَى أَنَّ مُسْتَوَياتٍ,وَ أشارْوا فِي حديثهم إِلَى أَنَّ مُسْتَوَيْاتٍ ,success
39,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=859x196 at 0x74BD84187E50>,مَرْحَلَةِ التَعْلِيمِ الثانَوِيِّ,مرحلة التعليم الثانوية ٢٠٢٠,success
40,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=862x113 at 0x74BD84187910>,العَرِيقِ وَالحاضِر المُفِيدِ وَالمُسْتَقْبَلِ المَشْرِقِ,العَريقِ وَالحاضرِ المُفيدِ وَالمُستَقْبَلِ المَشْرِقِ,success
41,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=769x135 at 0x74BD8414C310>,أَخِيرا لَم تَكُن جَمِيعُها نُصُوصاً حميريه,أخبارا لم تكن جمِيعها نُصوصاً حميريه,success
42,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1104x124 at 0x74BD8414EAD0>,وَتَوَّهَ الرَئِيسِ إِلَى أَهَمِّيَّةً دَعْمِ العُمّالِ الفَلّاحَيْنِ العائِدِينَ,وتَوَّهَ الرَّئِيْسِ إِلَى أَهْمَيْبَةَ دَعْمِ العُمَّالِ الفَلاَحِيْنِ العاِيَادِينَ,success
43,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1286x137 at 0x74BD8414E850>,طَبَّقَت عَلَى الأَشْجارِ خِلالَ فَتْرَةٍ الدراسه، حَيْثُ اِعْتَمَدَ,طيب فتات،والأسياد،دلال فناءة الحجاس،ديتْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْتْمْت,success
44,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1314x158 at 0x74BD8417EC90>,وَطُرُقِ الإِنْتاجِ بِأَدْنَى مُسْتَوَياتٍ الحراثه، حَيْثُ كانَت العَلاقَةِ,وُطرُقِ الإِنْتاجِ بَأْدْنِي مُستَوِيَاتِ الحِراثِهِ، حِيْثُ كَانَت العَلَاقةِ,success
45,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1341x156 at 0x74BD8417C2D0>,عُمَر الأَشْجارِ مِن أَجْلِ تَجْدِيدِ شَباب الأَشْجارِ وَتَحْسِينِ,عَمْرُ الأَبْتَجَارِ مِن أَجْلِ تَجْدِيدِ شَبْابِ الأَبْتَجَارِ وَتَحْسِينِ,success
46,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1224x177 at 0x74BD8417CD90>,كِتابِ الأَخ الأُسْتاذ / عَلَى مُصْطَفَى المصراتي ،,كتبِ الأخِ الأُستاذ / عَلَى مُصْطفَى المصراتي.,success
47,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1074x151 at 0x74BD8417CED0>,كانَ أَبْخَل مِن بَرّاً اللّٰه وَأَطْيَب مِن بَرّاً,كانَ أبْخَل من بَرْاَ اللَّهِ وَأَظْبَبْ مِنَ بَرْاَ,success
48,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=576x170 at 0x74BD8417D990>,مُشْتَقّه مِن فِعْلٍ شائِع,مُشْتَقَّه مِن فَعْلِ شَائِع,success
49,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=666x141 at 0x74BD8417EC10>,عِلْماً لَقَوْمِيّه فِي الشِعْرِ الجاهِلِيّ,علماً نَقْوْمِيّهِ في الشَّغرِ الجاهِيّ,success
50,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=952x136 at 0x74BD8C209350>,فِي بِعَضِّ المواسم، أَو كانَ بَقايا نهر، أَثَّرَت,فيي بحصّ المواسم، أو حلّان بقايا نهر، أتّرّت ,success
51,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1095x135 at 0x74BD84172310>,لِلشِعْرِ عِنْدَ الجاهِلِيَّيْنِ إِلّا أَنَّنا لا نَجِد حمادا,لِلْشَغْرِ عِنْدَ الجَاهِلِيْتِينِ إِلَا أَنْنَا لا نَجْدُ حمادا ,success
52,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1462x116 at 0x74BDA0161190>,وَكانَ التُجّارِ الأَجانِبِ قَد حَصَلُوا مُنْذُ القَرْنِ السادِسِ,وَكَازَنَ بِيَارِيَانِدِيْ فَمْ حَصَلْوا مَنْعَمُ الْفَزْزَارِسِس ١٩٩٥,success
53,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1064x150 at 0x74BD8419A110>,وَالقائِلُونَ إِن سارِقَيْنِ مِن أَصْلِ لَفْظَتَيْنِ سارّه ووج,وَالقَائِلُونَ إِنَّ سَارِقَتِينَ مِن أَصْلِ لَمْظَتِينِ سَارَهُ ودَعَع,success
