,dataset,image,ground_truth,qari2,status
10,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=886x160 at 0x775534286110>,تأثرت بلغة بني إرم، فكتبت بها، كما فعل,ناَتَرَت بِلغَتَة بِنِي.لرم)، فكبَشَت بِها،كا ففعل,success
11,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1018x167 at 0x7755342866D0>,تَكُون فارسيه، لِأَنَّ الفُرْسُ مجوس، وَالمَجُوس لا يَعْتَقِدُونَ,تكُون فارسيه، لأَنَّ الفُرْشُ مجوس، وَالمَجُوس لا يَغْتَقِدُونَ,success
12,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=316x109 at 0x775534286C90>,العربيه،,العربيه،,success
13,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1457x152 at 0x775534287250>,المِيلادِيِّ بِمُقْتَضَى قَوانِينِ القَوْط الغَرْبِيِّينَ عَلَى حَقِّهِم فِي,إلِيلادِيّ بِمُقْتَضَى قَوانِينِ القَوْطِ الغَزْبِيِّينَ عَلَى حَقِّهِمِ فِي,success
14,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=3188x292 at 0x775534287810>,تَتَحَمَّل المَسْؤُولِيَّةِ المُتَعَلِّقَةِ بِخُطَّة التحريري. وَفَضَّلا عَن ذٰلِكَ,تُحِمِلِ المِسْؤُولِيةِ المُتعلِّقةِ بخطةِ التحرِيرِيِ. وفضلا عَن ذلِكَ,success
15,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1216x126 at 0x775534287DD0>,استعمل القدماء حجاره البراكين في البناء، ولا يزال,9 شعمال القواماحيابا ره إِبِسراكِينَخْيِ لِبنادِ 6اددِيِئُال,success
16,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1295x168 at 0x7755342903D0>,"أَو ثلثه؛ حَسَبَ خُصُوبَة الموسم, وَفِي نِهايَةِ الحِصاد","أَوِ ثلثه: حَسَبَ خُصوبَة الموسم, وَفِي نِهايَةِ الحِصاد",success
17,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1440x119 at 0x775534290990>,"بِالرُجُوعِ إِلَى مُؤَلِّفات ""الهمداني"" وَغَيْرِهِ مِن عُلَماءِ اليَمَنِ","بِالزَّجُوعِ إِلَى مُؤَلِّفَاتِ ""الهمداني"" وَغَيْرِهِ مِن غُلَماءِ اليَمَنِ",success
18,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1118x166 at 0x775534290F50>,الأَعْضاءِ فِي اِتِّحادِ المَغْرِبِ العَرَبِيِّ يرنامجا دُونِ اقليمي.,الأَغضاءِ في إِتِّحادِ المَغْربِ العَرَبِيِّ برنامجا دُونِ اقليمي.,success
19,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1264x140 at 0x7755342914D0>,هائِلٌ تَحَدَّثَ فِيهِ تَفاعُلاتٌ نَوَوِيّه تَصِل دَرَجَةِ الحَرارَةِ,هائِلٌ تَحَدَّثُ فِيهِ تَفاعُلِثْ نَوَوِيّهِ تَّصلِ دَرَجَةِ الحَراَةِ,success
20,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1278x127 at 0x775534291B10>,ذَهَبَ نُوح مُظَفَّر ضِرْغام بِصُحْبَةِ رَؤُوف بِن لؤي رايق ظافِر,ذَهَبَ نُوح مُظَفَّر ضِرْغام بِصُحْبَةِ رَؤُوفِ بِن لَوَيِ رايق ظافِر,success
21,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1572x217 at 0x775534292010>,الَّتِي تُسَكِّنها القَبائِلِ المتبديه، وَتَقَع فِي شَمالها وَفِي,الَّتِي تُسَكِّنُها القَبَائِلِ المتبدِيهِ، وَتَقَع فِي شَمالها وَفِي,success
22,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=889x126 at 0x7755342925D0>,بِلُبّ شاعِرِ الصِينِ الكَبِيرِ لِيَ بِأَيّ فِي زَمَنٍ,بلُبّ شاعِرِ الصِينِ الكَبِيرِ لِي بِأَيِّ فِي زَمَنِ,success
23,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1202x148 at 0x775534292B90>,أَنَّنا فِي الحج. هَل تَعْلَم فائِدَةٍ الكَلِماتُ التالِيَة لِهٰذا النَصِّ,أَنَّّنا فِي الحج. هَل تَغْلَم فَائِدَةٍ الكَلِماتُ التالِبَةِ لِهَذا النَصِّ,success
24,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1124x309 at 0x775534293150>,أَساسِيَّةٍ ،وتدربهم عَلَى تَوَلِّي,أساسِبِّتَةٍ ،ونتدريبهم عَلَى تَوَلِّ,success
25,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1262x139 at 0x775534293710>,مَعَ البِيئَةِ اليابانِيَّةِ وَخُصُوصِيَّتها الثقافيه. كَما تَضَمَّنَ مَشْرُوعِ,مَعَ البِئَةِ اليابانِيَّةِ وَخُصُوصِيَّتها الثقافيِهِ. كَما تَضَمَّنَ مَشْرُوعِ,success
26,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1251x140 at 0x775534293CD0>,عَمَلٍ مُؤَرَّخ الجاهليه، يَنْطَبِق أَيْضاً عَلَى أَهَمِّيَّةً شَعَرَ,عَمَلٍ مُؤَرَّخ الجاهلِيهِ، يَنْطَبِق أَيْضاً عَلَى أُهَمِّيَّةً شَعَرَ,success
27,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1036x155 at 0x7755342942D0>,وَقَد ذَهَبَ بِعَضُّهُم إِلَى إِن العَرَبِيَّةِ الشَرْقِيَّةِ كانَت,وَقَد ذَهَبَ بِعَضُّهْمِ إِلَى إِن العَرَبِيَّةِ الشَّرْقِيَّةِ كانَت,success
28,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1189x132 at 0x775534294890>,الأَساسِيُّ لِلطاقَةِ وَمِنها تَسْتَمِدّ الأَرْضِ الحَرارَةِ الَّتِي تَحْتاجها,الأسَاسيُّ لِلطاقَةِ وَمِنها تَستَمِدّ الأَرضِ الحَرارَةِ الَّتِي تَحْتاحِها,success
29,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1534x156 at 0x775534294E10>,مَعْهَدِ كونفوشيوس فِي جامِعَةِ قَناةِ السويس، أَقامَهُ مُنْتَدَى,تَعْمِهِدٍ كَو نفُوسٍيُوسٍ فِي جَابِعَةٍ قَناةٍ اِلسوسِ، أَقَاتَهُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُُ,success
30,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1002x132 at 0x7755342953D0>,سِتَّ وَعِشْرِينَ دَرَجَةِ غَرْباً وَاِثْنَتانِ وَثَلاثِينَ,بِستٌ وَعِشْرِينَ فَرَجَةٍ غَزْباً وِإِثْنَتانِ وَثَلَاثِينَ,success
31,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1978x251 at 0x775534295990>,فِي الفُرَصِ وَيَحِقّ لِلطُلّابِ ذَوِي المُتَطَلَّباتِ التَعْلِيمِيَّةِ الخاصَّةِ,في الفَرَصرِ وَيُحِقُّ للخِالِبِ نَوِيَ الفَنَّطالِيَاتِ النَّغَالِيسِيَّةِ الخاصِّةِ,success
32,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=929x115 at 0x775534295F50>,وَذٰلِكَ بِمَدِينَة شانغْهاي تَبْلُغ سَعَة التَخْزِين لَقُرْص الأَشِعَّة,وَدَلِكَ بِهَدِبَنَةٍ بشانعْهَايٍ تَبْلُعٍ سَعِكَةِ التَّدْزِينِ أَقْرَصِ الْأَشِعَّةِ,success
33,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=613x123 at 0x775534296590>,إِلّا أَنَّهُ لَم يَتَمَكَّن مَعَ ذٰلِكَ مِن العَضّ,إِبِّر أَنَّهُ لَمْ تَمْتَلِس نَعَ زُلِكَ مِن العَقْنِ,success
34,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=234x99 at 0x775534296A90>,الأُخْرَى,الأخى,success
35,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=881x134 at 0x775534297050>,أَمّا الكروم، فَقَد غَرَسَت فِي مَناطِقِ مِن الجَزِيرَةِ,أَمَّا الكروم، فَقَد غَرَسَست فِي مَناطِقٍ مِن الجَزِيرَةِ,success
36,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=934x135 at 0x775534297610>,التَرْبِيَةِ والتكوين، حَظِيَ بِدَعْمٍ قَوِيٍّ مِن قِبَلَ أَعْلَى,التَزْبِيَةِ والتكوين. حَظِيَ بِدَعْمٍ قَوِيٍّ مِن قِبَلَ أَعْلَ,success
37,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1045x153 at 0x775534297BD0>,الرِيفِيّات اللّاتِي عَمِلْنَ فِي المُدُنِ وَاللّاتِي لَم يُغادِرْنَ,الرِيفِيَّاتِ اللّاتِي عَمِلْنَ فِي المُدْنِ وَاللّاتِي لَم يُغادِزْنَ,success
38,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1322x444 at 0x77553429C1D0>,وَأَشارُوا فِي حَدِيثهم إِلَى أَنَّ مُسْتَوَياتٍ,وَأَشَارُوا فِي حَدِيثِهم إِلَى أَنَّ مُسْتَوَيَاتٍ,success
39,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=859x196 at 0x77553429C790>,مَرْحَلَةِ التَعْلِيمِ الثانَوِيِّ,مَرْكَلَةٌ التَعْلِيمِ الثَانَوِيِّ,success
40,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=862x113 at 0x77553429CD50>,العَرِيقِ وَالحاضِر المُفِيدِ وَالمُسْتَقْبَلِ المَشْرِقِ,الغَرِيقِ وَالحَاضِرِ المُفِيدِ وَالمُسْتَقْبَلِ المَشْرِقِ,success
41,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=769x135 at 0x77553429D310>,أَخِيرا لَم تَكُن جَمِيعُها نُصُوصاً حميريه,أخِيرا لَم تَكْن جَمِيعُها نُصُوصاً حميريه,success
42,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1104x124 at 0x77553429D8D0>,وَتَوَّهَ الرَئِيسِ إِلَى أَهَمِّيَّةً دَعْمِ العُمّالِ الفَلّاحَيْنِ العائِدِينَ,وَتَوَّهَ الرَئِيسِ إِلَى أَهَمِّيَّةً دَعْمِ العُمّالِ الفَلّاحَيْنِ العائِدِينَ,success
43,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1286x137 at 0x77553429DE90>,طَبَّقَت عَلَى الأَشْجارِ خِلالَ فَتْرَةٍ الدراسه، حَيْثُ اِعْتَمَدَ,حَايٍةٍفَقَبَتٍ،ِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِ,success
44,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1314x158 at 0x77553429E410>,وَطُرُقِ الإِنْتاجِ بِأَدْنَى مُسْتَوَياتٍ الحراثه، حَيْثُ كانَت العَلاقَةِ,وَطُرُقِ الإِنتاجِ بِأَدْنَى مُطَوِيَاتِ الحِراثِهِ، حَيْثُ كَانَتِ العَلاقَةِ,success
45,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1341x156 at 0x77553429E9D0>,عُمَر الأَشْجارِ مِن أَجْلِ تَجْدِيدِ شَباب الأَشْجارِ وَتَحْسِينِ,عُمِّرَ الأَثْجَارِ مِن أَجْلِ تِجْدِيدِ شَبَابِ الأَثْجَارِ وَتَحْسِينِ,success
46,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1224x177 at 0x77553429EF50>,كِتابِ الأَخ الأُسْتاذ / عَلَى مُصْطَفَى المصراتي ،,كِتابِ الأَخِ الأُسْتاذ / عَلَى مُصْطَفَى المصراتِي ,success
47,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1074x151 at 0x77553429F510>,كانَ أَبْخَل مِن بَرّاً اللّٰه وَأَطْيَب مِن بَرّاً,كانَ أَبْخَل مِن بَرَّاَ اللَّهِ وَأَطْيَب مِن بَرَّاَ,success
48,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=576x170 at 0x77553429FAD0>,مُشْتَقّه مِن فِعْلٍ شائِع,مُشْتَقِّه مِن فِعْلٍ شائِع,success
49,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=666x141 at 0x7755342AC0D0>,عِلْماً لَقَوْمِيّه فِي الشِعْرِ الجاهِلِيّ,علْماً لَقَوْمِيّه فِي الشِغْرِ الجاهِلِيّ,success
50,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=952x136 at 0x7755342AC690>,فِي بِعَضِّ المواسم، أَو كانَ بَقايا نهر، أَثَّرَت,فِيِ بِحَضِّ المواسمِ، أُوحِنَّانَ بَقايا نهرٍ، أَثَرَت,success
51,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1095x135 at 0x7755342ACC50>,لِلشِعْرِ عِنْدَ الجاهِلِيَّيْنِ إِلّا أَنَّنا لا نَجِد حمادا,لِلشِّغْرِ عِنْدَ الجاهِلِيَّتِينِ إِلَّا أَعَّنَا لا نَجِد حمادا,success
52,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1462x116 at 0x7755342AD210>,وَكانَ التُجّارِ الأَجانِبِ قَد حَصَلُوا مُنْذُ القَرْنِ السادِسِ,وَكازَانُبْجَارِالْأَجَانِدِ فَّمَ حَضَلُوا مَنْعُ الْفَّزَالِسِإِسِ,success
53,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1064x150 at 0x7755342AD7D0>,وَالقائِلُونَ إِن سارِقَيْنِ مِن أَصْلِ لَفْظَتَيْنِ سارّه ووج,وَالقَائِلُونَ إِن سارِ قَتِّينِ مِن أَضْلِ لَفْظَتَيْنِ سَارَه ودوع,success
54,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=900x117 at 0x7755342ADD90>,هٰذا التَقْسِيم وَما رَواهُ الرُواة مِن أَخْبارُ تِلْكَ,هَا النَّقْسِيمِ وَما اِواهَ الزِّواةِ مِن أَحْباَءٍ نَّلكِ,success
55,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=906x150 at 0x7755342AE350>,وَمِن السُيّاحِ الَّذِينَ اِخْتَلَطُوا بِقَبائِل بِلادِ العَرَبِ ،,وَمِن الشِّيَاحِ الَّذِينَ إِخْتَلَطُوا بِقَبَائِلِ بِلَادِ الغَرَبِ ،,success
56,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2250x172 at 0x7755342AE910>,نُسْخَةً مِن كِتابِها وَقِيمَتُها خَمْسمائَة وَخَمْسَةِ وَأَرْبَعُونَ مِلْيُونِ,وَالنِّشْخَةَ مِن كِتابِها وَقِيفَتُها خَفْسمِائَة وَخَفْشَةٍ وَأَزْبَغُونَ مِلْيُونِ,success
