,dataset,image,ground_truth,easyocr,tesseract,status
10,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=886x160 at 0x7557B429BB10>,تأثرت بلغة بني إرم، فكتبت بها، كما فعل,"{'text': 'تاثرت العذابني برم , فكثبت بجاء كما فعل', 'time': 0.07779479026794434}","{'text': '320 مك ىن .زر 8 فكت )كا ضْ\n', 'time': 0.10150146484375}",success
11,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1018x167 at 0x7557B47A0C90>,تَكُون فارسيه، لِأَنَّ الفُرْسُ مجوس، وَالمَجُوس لا يَعْتَقِدُونَ,"{'text': 'مجوس والمجوس لا يغتًقدون فادسيه لآنً تكون الفرس', 'time': 0.10372185707092285}","{'text': 'تَكون فارسيه. لنَ الفُْش مجوسء وَالَجُوس لا يَعْتَقِدُون\n', 'time': 0.09207415580749512}",success
12,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=316x109 at 0x7557B4268510>,العربيه،,"{'text': 'العربيه', 'time': 0.029693603515625}","{'text': 'بريه\n\n+ «ه»\n', 'time': 0.03698611259460449}",success
13,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1457x152 at 0x7557B43BAED0>,المِيلادِيِّ بِمُقْتَضَى قَوانِينِ القَوْط الغَرْبِيِّينَ عَلَى حَقِّهِم فِي,"{'text': 'ق ي البلادي بمقتضى قوانين القوط الغرزبيين على', 'time': 0.077606201171875}","{'text': 'ليلاده؛ بِمفْتَكَى قَوانِينِ القَؤط العَْبِيينَ على حَقيم فى\n', 'time': 0.07862281799316406}",success
14,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=3188x292 at 0x7557B436B190>,تَتَحَمَّل المَسْؤُولِيَّةِ المُتَعَلِّقَةِ بِخُطَّة التحريري. وَفَضَّلا عَن ذٰلِكَ,"{'text': '/ ل  > *ر / ل /// وفضلا عن ذلك المتعلقة لمخطة تتحمل المسؤولية التحريري', 'time': 0.27167534828186035}","{'text': 'اميد م هم خر \u200f ين ميات نر ين ص ين - \u200e١\u200f صم\n48 ١ه \u200e٠\u200f ١ه\u200f +"" ه \u200e٠\u200f\n\u200fتحمل المسؤولية المتعلقة مخطة التحريري. وفضلا عن ذلك\n', 'time': 0.2561020851135254}",success
15,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1216x126 at 0x7557800A0590>,استعمل القدماء حجاره البراكين في البناء، ولا يزال,"{'text': 'شممل القوماءحجاره لبراكيذغي لبناء ( ددديزال', 'time': 0.05476975440979004}","{'text': '9 2 يعاد\nمتحهحد درب\nم\nئ\n\u200e١\u200f كيوخحكى شنار\n+4\nمرا\n6\nيمحىاره\nم١\u200f\nب\n', 'time': 0.11377549171447754}",success
16,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1295x168 at 0x7557B468B610>,"أَو ثلثه؛ حَسَبَ خُصُوبَة الموسم, وَفِي نِهايَةِ الحِصاد","{'text': 'الموم , وفي نهاية الحصاد أو ثلث  : كلب خصصوبة', 'time': 0.08629798889160156}","{'text': 'أو ثلثه؛ حَسَتَ 2 ضوئة الموسم., وَفِي نهاية الحصاد\n', 'time': 0.10000038146972656}",success
17,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1440x119 at 0x7557FA063E50>,"بِالرُجُوعِ إِلَى مُؤَلِّفات ""الهمداني"" وَغَيْرِهِ مِن عُلَماءِ اليَمَنِ","{'text': 'من بالرجوع إلى فؤلفات "" الهمداني "" علماء وغيره اليقن', 'time': 0.10194611549377441}","{'text': 'بالزجُوع إلى مُؤلفات ""الهمداني"" وَعَئْرِهِ مِن عُلَماءٍ التِمَنِ\n', 'time': 0.08254528045654297}",success
18,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1118x166 at 0x7557800D5CD0>,الأَعْضاءِ فِي اِتِّحادِ المَغْرِبِ العَرَبِيِّ يرنامجا دُونِ اقليمي.,"{'text': 'يرنامجا في اتحاد ء الأغضا المغرب دون اقليمي . العري', 'time': 0.14087390899658203}","{'text': ': ن اقليمي.\nنامجا دون\n1 العَرَى مر:\nغضاءٍ فى اتحاد المغرب لَعَرَوٍ\n\u200e٠ 5\u200f ظُ أ\nالا 1 هه\n', 'time': 0.12492513656616211}",success
19,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1264x140 at 0x755780045A90>,هائِلٌ تَحَدَّثَ فِيهِ تَفاعُلاتٌ نَوَوِيّه تَصِل دَرَجَةِ الحَرارَةِ,"{'text': 'تصل درجة القرارق هائل تقدًثً  فيو تفاغلات نوويه', 'time': 0.08118748664855957}","{'text': 'دَرَحة\n\nجة\n\n-\n\nا\n', 'time': 0.08191061019897461}",success
20,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1278x127 at 0x7557B4242950>,ذَهَبَ نُوح مُظَفَّر ضِرْغام بِصُحْبَةِ رَؤُوف بِن لؤي رايق ظافِر,"{'text': 'نوح مظفًر ضرغام بصحبة رؤوف بن لؤي رايق ظافر ذهب', 'time': 0.06848335266113281}","{'text': ""لَفْر ضرغام بصُخبَّةِ رَزُوف بن لؤى رايق ظافِر\n> م هم ل ىو 0 تيصكحيد ' 1 د\nذهَبَ نوح ممُظفر ضِرْغام بِصُخبَةِ رَوُوف بن لؤىي\n"", 'time': 0.13788080215454102}",success
21,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1572x217 at 0x7557B46F4A10>,الَّتِي تُسَكِّنها القَبائِلِ المتبديه، وَتَقَع فِي شَمالها وَفِي,"{'text': 'وتقع ( المتبديه تسكدنها التي شمالها القبائل وفي في', 'time': 0.16631436347961426}","{'text': '|| أيها \u200e٠\u200f | أله اك || \u200e١\u200f مم 8 6 [| | هذ\n2 0 7 ( ذ\n- 8 ا 8 4 و ( 8 و ىيى\n', 'time': 0.15008258819580078}",success
22,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=889x126 at 0x7557E425B250>,بِلُبّ شاعِرِ الصِينِ الكَبِيرِ لِيَ بِأَيّ فِي زَمَنٍ,"{'text': '_ الصين الكبير لتي بأتي في بلب شاعر زمن', 'time': 0.08480167388916016}","{'text': 'نْب شاعر الصِين الكبير لي بأ فِي رَمَنِ\n', 'time': 0.07716679573059082}",success
23,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1202x148 at 0x7557802B1490>,أَنَّنا فِي الحج. هَل تَعْلَم فائِدَةٍ الكَلِماتُ التالِيَة لِهٰذا النَصِّ,"{'text': 'هل ثغل فائدة الكلمات التالية لهذا آننا ي النص الحج .', 'time': 0.09597969055175781}","{'text': 'تنا ق الحج. كل تَفلّم فَائِدَةٍ الكَلِماتٌ التاليّة إييذا التض\n', 'time': 0.1003715991973877}",success
24,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1124x309 at 0x75578008E290>,أَساسِيَّةٍ ،وتدربهم عَلَى تَوَلِّي,"{'text': 'ل أس ا سبيًة وتدربه غلى ثولي', 'time': 0.0947122573852539}","{'text': 'أساسييّة ,وتدربهم عَلى توي\n', 'time': 0.08216452598571777}",success
25,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1262x139 at 0x755780164210>,مَعَ البِيئَةِ اليابانِيَّةِ وَخُصُوصِيَّتها الثقافيه. كَما تَضَمَّنَ مَشْرُوعِ,"{'text': 'مع البيئة اليابانية وخصوصيتها الثقافيه . كما تضمن مشدوع', 'time': 0.08674907684326172}","{'text': 'مَعَْ البِيئّةِ اليابانِيَّة وَخْصُوصِيّتها الثقافيه. كما تَضَمَّنَ مَشْرُوع\n', 'time': 0.08317756652832031}",success
26,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1251x140 at 0x75578019E650>,عَمَلٍ مُؤَرَّخ الجاهليه، يَنْطَبِق أَيْضاً عَلَى أَهَمِّيَّةً شَعَرَ,"{'text': 'مؤرخ الجاهليه ينطبق آيضا على أهميةةً عمل شعر', 'time': 0.08447861671447754}","{'text': 'مَل مُؤَرَخْ الجاهليه. يَنطبق أَيْضا عَلى أَهَمَيّة\n', 'time': 0.0705118179321289}",success
27,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1036x155 at 0x755780059710>,وَقَد ذَهَبَ بِعَضُّهُم إِلَى إِن العَرَبِيَّةِ الشَرْقِيَّةِ كانَت,"{'text': 'بعضهم إلى إن العربية الشرقية كانت وقد ذهب', 'time': 0.08237791061401367}","{'text': 'ع د م 7 5\nود ذَهَبِ بِعَضّْهُم إلى إن العربيّةِ الشَرْقِبّةِ كاتت\n', 'time': 0.09891772270202637}",success
28,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1189x132 at 0x7557FA010710>,الأَساسِيُّ لِلطاقَةِ وَمِنها تَسْتَمِدّ الأَرْضِ الحَرارَةِ الَّتِي تَحْتاجها,"{'text': 'للطاقة ومنها تستًمد الأؤص الحرارة التي تختاجها الأساسي', 'time': 0.07303071022033691}","{'text': 'الأسايٌ للطاقة ومِنها َسحَمِد الأزض المراة الي تختاجها\n', 'time': 0.08298707008361816}",success
29,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1534x156 at 0x7557C0181B50>,مَعْهَدِ كونفوشيوس فِي جامِعَةِ قَناةِ السويس، أَقامَهُ مُنْتَدَى,"{'text': ' كونفوشيوس في جايتة فناة السوبس أقاته مشى', 'time': 0.06240200996398926}","{'text': ' ', 'time': 0.04040718078613281}",success
30,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1002x132 at 0x7557B41FF4D0>,سِتَّ وَعِشْرِينَ دَرَجَةِ غَرْباً وَاِثْنَتانِ وَثَلاثِينَ,"{'text': 'وعشرين ذرجة غزبأ واثنتان وثلاثين ليىت', 'time': 0.0644690990447998}","{'text': 'ست * وَعِشْرِين خرجة غَزْباً واثتنانٍ وثلائين\n', 'time': 0.06324172019958496}",success
31,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1978x251 at 0x7557FA09E4D0>,فِي الفُرَصِ وَيَحِقّ لِلطُلّابِ ذَوِي المُتَطَلَّباتِ التَعْلِيمِيَّةِ الخاصَّةِ,"{'text': '_ القرص وبحق للطللائ ذوي المتططلبات الأفلإمبة الخاصة', 'time': 0.09321093559265137}","{'text': 'قي الفرصر وَبَحق لاخللاب ذوى الفتحلليات الَفْليعيّة الخاصيّة\n', 'time': 0.10924124717712402}",success
32,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=929x115 at 0x7557C0244B10>,وَذٰلِكَ بِمَدِينَة شانغْهاي تَبْلُغ سَعَة التَخْزِين لَقُرْص الأَشِعَّة,"{'text': 'آً م الألشحة وذء بمدنة لشانعهاو نئتبلج لسعة  اتذزبن', 'time': 0.1069631576538086}","{'text': 'محأويمةبتة دملعتواء لجا دمطة لتأرين أخرص النمضة\n', 'time': 0.06262516975402832}",success
33,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=613x123 at 0x75578000AC50>,إِلّا أَنَّهُ لَم يَتَمَكَّن مَعَ ذٰلِكَ مِن العَضّ,"{'text': 'ذلل ين العض إتا أنهم بتكن تع', 'time': 0.06969714164733887}","{'text': ' ', 'time': 0.029137849807739258}",success
34,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=234x99 at 0x755780188590>,الأُخْرَى,"{'text': 'اأ خآع .', 'time': 0.044083356857299805}","{'text': 'اكيم\n', 'time': 0.040496826171875}",success
35,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=881x134 at 0x7557F3583F90>,أَمّا الكروم، فَقَد غَرَسَت فِي مَناطِقِ مِن الجَزِيرَةِ,"{'text': 'في قناطق من الجزيرة آقا الكروم فقد غرست', 'time': 0.11677765846252441}","{'text': '5\n\nمها الكروم. فقد غُرّسَت فِي مناطق من الجزيرَة\n', 'time': 0.06777381896972656}",success
36,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=934x135 at 0x755780020850>,التَرْبِيَةِ والتكوين، حَظِيَ بِدَعْمٍ قَوِيٍّ مِن قِبَلَ أَعْلَى,"{'text': 'من قبل بدعم قويً التربية والتكوين . أغلى خظي', 'time': 0.13017559051513672}","{'text': 'التَرْبِيَةِ والتكوين. حَظِيَ بِدَغْمٍ قَوي من قِبَلَ أغلى\n', 'time': 0.09676003456115723}",success
37,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1045x153 at 0x7557B42385D0>,الرِيفِيّات اللّاتِي عَمِلْنَ فِي المُدُنِ وَاللّاتِي لَم يُغادِرْنَ,"{'text': 'واللآاتي لم يغادزن غملن الريفيات الفدن اللاتي في', 'time': 0.130171537399292}","{'text': '- 38\n', 'time': 0.05758833885192871}",success
38,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1322x444 at 0x755780143810>,وَأَشارُوا فِي حَدِيثهم إِلَى أَنَّ مُسْتَوَياتٍ,"{'text': 'في خديثهم إلى أن آ  أشاروا مستويات', 'time': 0.14094138145446777}","{'text': 'وَأَشارُوا ني حَدبئهم إلى أَنّ مُسْتَوَيات\n', 'time': 0.11783909797668457}",success
39,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=859x196 at 0x755780063010>,مَرْحَلَةِ التَعْلِيمِ الثانَوِيِّ,"{'text': ' مرمله التنليم الثانواي', 'time': 0.11098933219909668}","{'text': 'مَرْعَلَةِ التكليى الثاتوج\n', 'time': 0.06565117835998535}",success
40,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=862x113 at 0x7557B47CA4D0>,العَرِيقِ وَالحاضِر المُفِيدِ وَالمُسْتَقْبَلِ المَشْرِقِ,"{'text': 'القريق والحاضر الففيد والفسثًقبل القشرق', 'time': 0.05892300605773926}","{'text': 'القريق والحاضر المُفِيدٍ وَالمُسْئَفْبَلٍ القشرق\n', 'time': 0.08212685585021973}",success
41,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=769x135 at 0x7557800B7E10>,أَخِيرا لَم تَكُن جَمِيعُها نُصُوصاً حميريه,"{'text': 'أخيرا لم تكن جميعها نصوصاً حميريه', 'time': 0.045223236083984375}","{'text': 'ع\n\nأخيرا لم تَكُن جَمِيعُها نُصُوِ\n', 'time': 0.052768707275390625}",success
42,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1104x124 at 0x75578024A8D0>,وَتَوَّهَ الرَئِيسِ إِلَى أَهَمِّيَّةً دَعْمِ العُمّالِ الفَلّاحَيْنِ العائِدِينَ,"{'text': 'العائدين دغم الفقال وتوة الرئيس إل أهميًةً الفلاحين', 'time': 0.11210060119628906}","{'text': 'هَمُّبَةَ هَمبَةَ دغم العْمَالٍ القَلَاحَيْنِ العائديت\n', 'time': 0.09778857231140137}",success
43,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1286x137 at 0x7557802D0910>,طَبَّقَت عَلَى الأَشْجارِ خِلالَ فَتْرَةٍ الدراسه، حَيْثُ اِعْتَمَدَ,"{'text': 'اسلهادا دآا٥ فآءا_آ ة[ الد داسه _اءات ٥ا٥ _2ت٥مآد٥ طابااقلات ٥|٥ والأار', 'time': 0.1546473503112793}","{'text': 'طابقا اللقلات 1 الاي الألاشهالبا ا .االا|ة! 114ئلا ىلا8 الحم اس.. البلا ت 1 الا ءلانلاءلادة\n', 'time': 0.11021995544433594}",success
44,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1314x158 at 0x7558301EB7D0>,وَطُرُقِ الإِنْتاجِ بِأَدْنَى مُسْتَوَياتٍ الحراثه، حَيْثُ كانَت العَلاقَةِ,"{'text': '// ٥ 4 الإنتاج بأدنى مستويات الحراثهء حيث كانت العلاقة وطرق', 'time': 0.1201930046081543}","{'text': 'ع ار لير 3 َه سا تراه سم ع ةا اع - - -\n', 'time': 0.08988213539123535}",success
45,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1341x156 at 0x75578006FE90>,عُمَر الأَشْجارِ مِن أَجْلِ تَجْدِيدِ شَباب الأَشْجارِ وَتَحْسِينِ,"{'text': 'أجل تجديد شباب الأشجار من الأشجار وتحسين عمر', 'time': 0.1454477310180664}","{'text': 'ار من أجل ديد سَباب الأنجار وَتسينِ\nالاك نديد شاب حار سير\nعمر الا تجار من اجلي مجديد شباب الا تجار\n', 'time': 0.12542033195495605}",success
46,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1224x177 at 0x75578011E2D0>,كِتابِ الأَخ الأُسْتاذ / عَلَى مُصْطَفَى المصراتي ،,"{'text': 'كتاب الأًخ الألستاذ على مضطفى المصراتي', 'time': 0.08444380760192871}","{'text': 'كتاب الأخ الأشتاذ / عَلَى مُضْطَفَى المصراتي .\n', 'time': 0.07193613052368164}",success
47,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1074x151 at 0x755780103BD0>,كانَ أَبْخَل مِن بَرّاً اللّٰه وَأَطْيَب مِن بَرّاً,"{'text': 'من براً اللله وأفيب من براً حال أبخل', 'time': 0.08055758476257324}","{'text': '9\n١\n\nكان أَبخَل مِن بَرَا الانه وَأَظيّب من بز\n', 'time': 0.06832718849182129}",success
48,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=576x170 at 0x7557B420E250>,مُشْتَقّه مِن فِعْلٍ شائِع,"{'text': 'مشتقه من فعل شائع', 'time': 0.07617616653442383}","{'text': ' ', 'time': 0.030665874481201172}",success
49,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=666x141 at 0x75578018FFD0>,عِلْماً لَقَوْمِيّه فِي الشِعْرِ الجاهِلِيّ,"{'text': 'علماً لقوميه في الشفر الجاهلي', 'time': 0.048467159271240234}","{'text': 'عِلْماً لَقَوْمِيّه في الشغر الجاهِلِيّ\n', 'time': 0.08498716354370117}",success
50,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=952x136 at 0x7557801E1210>,فِي بِعَضِّ المواسم، أَو كانَ بَقايا نهر، أَثَّرَت,"{'text': 'في بعض المواسم أوطان بًقايا نهر أثرت', 'time': 0.05775761604309082}","{'text': 'فج بعص المواسى. أوطارٌ يقايانهن أن\n', 'time': 0.06065082550048828}",success
51,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1095x135 at 0x7557801CB5D0>,لِلشِعْرِ عِنْدَ الجاهِلِيَّيْنِ إِلّا أَنَّنا لا نَجِد حمادا,"{'text': 'إلا أننا لا نجد حمادا ٤ يلشغر عند الجاهليين', 'time': 0.10514044761657715}","{'text': '3\nاللدر\n\nكِنْدَ الجا\n\nذن\nا ساهو هوه\n\nسس\n\n329\n\nلا تجد حمادا\n', 'time': 0.09176230430603027}",success
52,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1462x116 at 0x7557800F3D50>,وَكانَ التُجّارِ الأَجانِبِ قَد حَصَلُوا مُنْذُ القَرْنِ السادِسِ,"{'text': 'وكرآالآجا رالأ جانب ق قحلو | قثة رالقززالساءا ير', 'time': 0.06648397445678711}","{'text': 'كارالتار الأ جايد كم حَحَلو مَئْه الكَرْرًالسإواير\n', 'time': 0.08841800689697266}",success
53,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1064x150 at 0x7557800DE050>,وَالقائِلُونَ إِن سارِقَيْنِ مِن أَصْلِ لَفْظَتَيْنِ سارّه ووج,"{'text': 'ساره ووج بن والقائلون إن سار فين  أصل لفظتين', 'time': 0.10996437072753906}","{'text': 'وَالعَائْلوتَ إن سا رمي ين أصَلٍ لمْطمَيِنِ ساره وو\n', 'time': 0.09949684143066406}",success
54,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=900x117 at 0x7557859E18D0>,هٰذا التَقْسِيم وَما رَواهُ الرُواة مِن أَخْبارُ تِلْكَ,"{'text': '-آدا الثقسبم وما رواء الرواة من أخبار ثلك', 'time': 0.047965049743652344}","{'text': 'ها أذا التقسيم وها روا الرواة م أخباز تلك\n', 'time': 0.06214570999145508}",success
55,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=906x150 at 0x755785945950>,وَمِن السُيّاحِ الَّذِينَ اِخْتَلَطُوا بِقَبائِل بِلادِ العَرَبِ ،,"{'text': 'ومن الستاح الذين اختلظوا بقبائل بلاد القرب', 'time': 0.052304744720458984}","{'text': 'وَمِن الشبّاح الَّذِينَ إخْتَلَّظُوا بِقَبائْل بلادٍ العرب »\n', 'time': 0.0712430477142334}",success
56,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2250x172 at 0x75577975CB50>,نُسْخَةً مِن كِتابِها وَقِيمَتُها خَمْسمائَة وَخَمْسَةِ وَأَرْبَعُونَ مِلْيُونِ,"{'text': 'نسخةً من جتابها وقيقثوا خمسمائة وخمسة وأزبعون مليون', 'time': 0.08748793601989746}","{'text': ' ', 'time': 0.06974124908447266}",success
