dataset,image,ground_truth,easyocr,tesseract,status,easyocr_text,easyocr_time,easyocr_text_no_diacritics,tesseract_text,tesseract_time,tesseract_text_no_diacritics,ground_truth_no_diacritics
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=886x160 at 0x7557B429BB10>,تأثرت بلغة بني إرم، فكتبت بها، كما فعل,"{'text': 'تاثرت العذابني برم , فكثبت بجاء كما فعل', 'time': 0.07779479026794434}","{'text': '320 مك ىن .زر 8 فكت )كا ضْ\n', 'time': 0.10150146484375}",success,"تاثرت العذابني برم , فكثبت بجاء كما فعل",0.07779479026794434,"تاثرت العذابني برم , فكثبت بجاء كما فعل",320 مك ىن .زر 8 فكت )كا ضْ,0.10150146484375,320 مك ىن .زر 8 فكت )كا ض,تأثرت بلغة بني إرم، فكتبت بها، كما فعل
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1018x167 at 0x7557B47A0C90>,تَكُون فارسيه، لِأَنَّ الفُرْسُ مجوس، وَالمَجُوس لا يَعْتَقِدُونَ,"{'text': 'مجوس والمجوس لا يغتًقدون فادسيه لآنً تكون الفرس', 'time': 0.10372185707092285}","{'text': 'تَكون فارسيه. لنَ الفُْش مجوسء وَالَجُوس لا يَعْتَقِدُون\n', 'time': 0.09207415580749512}",success,مجوس والمجوس لا يغتًقدون فادسيه لآنً تكون الفرس,0.10372185707092285,مجوس والمجوس لا يغتقدون فادسيه لآن تكون الفرس,تَكون فارسيه. لنَ الفُْش مجوسء وَالَجُوس لا يَعْتَقِدُون,0.09207415580749512,تكون فارسيه. لن الفش مجوسء والجوس لا يعتقدون,تكون فارسيه، لأن الفرس مجوس، والمجوس لا يعتقدون
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=316x109 at 0x7557B4268510>,العربيه،,"{'text': 'العربيه', 'time': 0.029693603515625}","{'text': 'بريه\n\n+ «ه»\n', 'time': 0.03698611259460449}",success,العربيه,0.029693603515625,العربيه,بريه + «ه»,0.03698611259460449,بريه + «ه»,العربيه،
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1457x152 at 0x7557B43BAED0>,المِيلادِيِّ بِمُقْتَضَى قَوانِينِ القَوْط الغَرْبِيِّينَ عَلَى حَقِّهِم فِي,"{'text': 'ق ي البلادي بمقتضى قوانين القوط الغرزبيين على', 'time': 0.077606201171875}","{'text': 'ليلاده؛ بِمفْتَكَى قَوانِينِ القَؤط العَْبِيينَ على حَقيم فى\n', 'time': 0.07862281799316406}",success,ق ي البلادي بمقتضى قوانين القوط الغرزبيين على,0.077606201171875,ق ي البلادي بمقتضى قوانين القوط الغرزبيين على,ليلاده؛ بِمفْتَكَى قَوانِينِ القَؤط العَْبِيينَ على حَقيم فى,0.07862281799316406,ليلاده؛ بمفتكى قوانين القؤط العبيين على حقيم فى,الميلادي بمقتضى قوانين القوط الغربيين على حقهم في
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=3188x292 at 0x7557B436B190>,تَتَحَمَّل المَسْؤُولِيَّةِ المُتَعَلِّقَةِ بِخُطَّة التحريري. وَفَضَّلا عَن ذٰلِكَ,"{'text': '/ ل  > *ر / ل /// وفضلا عن ذلك المتعلقة لمخطة تتحمل المسؤولية التحريري', 'time': 0.27167534828186035}","{'text': 'اميد م هم خر \u200f ين ميات نر ين ص ين - \u200e١\u200f صم\n48 ١ه \u200e٠\u200f ١ه\u200f +"" ه \u200e٠\u200f\n\u200fتحمل المسؤولية المتعلقة مخطة التحريري. وفضلا عن ذلك\n', 'time': 0.2561020851135254}",success,/ ل > *ر / ل /// وفضلا عن ذلك المتعلقة لمخطة تتحمل المسؤولية التحريري,0.27167534828186035,/ ل > *ر / ل /// وفضلا عن ذلك المتعلقة لمخطة تتحمل المسؤولية التحريري,"اميد م هم خر ‏ ين ميات نر ين ص ين - ‎١‏ صم 48 ١ه ‎٠‏ ١ه‏ +"" ه ‎٠‏ ‏تحمل المسؤولية المتعلقة مخطة التحريري. وفضلا عن ذلك",0.2561020851135254,"اميد م هم خر ‏ ين ميات نر ين ص ين - ‎١‏ صم 48 ١ه ‎٠‏ ١ه‏ +"" ه ‎٠‏ ‏تحمل المسؤولية المتعلقة مخطة التحريري. وفضلا عن ذلك",تتحمل المسؤولية المتعلقة بخطة التحريري. وفضلا عن ذلك
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1216x126 at 0x7557800A0590>,استعمل القدماء حجاره البراكين في البناء، ولا يزال,"{'text': 'شممل القوماءحجاره لبراكيذغي لبناء ( ددديزال', 'time': 0.05476975440979004}","{'text': '9 2 يعاد\nمتحهحد درب\nم\nئ\n\u200e١\u200f كيوخحكى شنار\n+4\nمرا\n6\nيمحىاره\nم١\u200f\nب\n', 'time': 0.11377549171447754}",success,شممل القوماءحجاره لبراكيذغي لبناء ( ددديزال,0.05476975440979004,شممل القوماءحجاره لبراكيذغي لبناء ( ددديزال,9 2 يعاد متحهحد درب م ئ ‎١‏ كيوخحكى شنار +4 مرا 6 يمحىاره م١‏ ب,0.11377549171447754,9 2 يعاد متحهحد درب م ئ ‎١‏ كيوخحكى شنار +4 مرا 6 يمحىاره م١‏ ب,استعمل القدماء حجاره البراكين في البناء، ولا يزال
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1295x168 at 0x7557B468B610>,"أَو ثلثه؛ حَسَبَ خُصُوبَة الموسم, وَفِي نِهايَةِ الحِصاد","{'text': 'الموم , وفي نهاية الحصاد أو ثلث  : كلب خصصوبة', 'time': 0.08629798889160156}","{'text': 'أو ثلثه؛ حَسَتَ 2 ضوئة الموسم., وَفِي نهاية الحصاد\n', 'time': 0.10000038146972656}",success,"الموم , وفي نهاية الحصاد أو ثلث : كلب خصصوبة",0.08629798889160156,"الموم , وفي نهاية الحصاد أو ثلث : كلب خصصوبة","أو ثلثه؛ حَسَتَ 2 ضوئة الموسم., وَفِي نهاية الحصاد",0.10000038146972656,"أو ثلثه؛ حست 2 ضوئة الموسم., وفي نهاية الحصاد","أو ثلثه؛ حسب خصوبة الموسم, وفي نهاية الحصاد"
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1440x119 at 0x7557FA063E50>,"بِالرُجُوعِ إِلَى مُؤَلِّفات ""الهمداني"" وَغَيْرِهِ مِن عُلَماءِ اليَمَنِ","{'text': 'من بالرجوع إلى فؤلفات "" الهمداني "" علماء وغيره اليقن', 'time': 0.10194611549377441}","{'text': 'بالزجُوع إلى مُؤلفات ""الهمداني"" وَعَئْرِهِ مِن عُلَماءٍ التِمَنِ\n', 'time': 0.08254528045654297}",success,"من بالرجوع إلى فؤلفات "" الهمداني "" علماء وغيره اليقن",0.10194611549377441,"من بالرجوع إلى فؤلفات "" الهمداني "" علماء وغيره اليقن","بالزجُوع إلى مُؤلفات ""الهمداني"" وَعَئْرِهِ مِن عُلَماءٍ التِمَنِ",0.08254528045654297,"بالزجوع إلى مؤلفات ""الهمداني"" وعئره من علماء التمن","بالرجوع إلى مؤلفات ""الهمداني"" وغيره من علماء اليمن"
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1118x166 at 0x7557800D5CD0>,الأَعْضاءِ فِي اِتِّحادِ المَغْرِبِ العَرَبِيِّ يرنامجا دُونِ اقليمي.,"{'text': 'يرنامجا في اتحاد ء الأغضا المغرب دون اقليمي . العري', 'time': 0.14087390899658203}","{'text': ': ن اقليمي.\nنامجا دون\n1 العَرَى مر:\nغضاءٍ فى اتحاد المغرب لَعَرَوٍ\n\u200e٠ 5\u200f ظُ أ\nالا 1 هه\n', 'time': 0.12492513656616211}",success,يرنامجا في اتحاد ء الأغضا المغرب دون اقليمي . العري,0.14087390899658203,يرنامجا في اتحاد ء الأغضا المغرب دون اقليمي . العري,: ن اقليمي. نامجا دون 1 العَرَى مر: غضاءٍ فى اتحاد المغرب لَعَرَوٍ ‎٠ 5‏ ظُ أ الا 1 هه,0.12492513656616211,: ن اقليمي. نامجا دون 1 العرى مر: غضاء فى اتحاد المغرب لعرو ‎٠ 5‏ ظ أ الا 1 هه,الأعضاء في اتحاد المغرب العربي يرنامجا دون اقليمي.
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1264x140 at 0x755780045A90>,هائِلٌ تَحَدَّثَ فِيهِ تَفاعُلاتٌ نَوَوِيّه تَصِل دَرَجَةِ الحَرارَةِ,"{'text': 'تصل درجة القرارق هائل تقدًثً  فيو تفاغلات نوويه', 'time': 0.08118748664855957}","{'text': 'دَرَحة\n\nجة\n\n-\n\nا\n', 'time': 0.08191061019897461}",success,تصل درجة القرارق هائل تقدًثً فيو تفاغلات نوويه,0.08118748664855957,تصل درجة القرارق هائل تقدث فيو تفاغلات نوويه,دَرَحة جة - ا,0.08191061019897461,درحة جة - ا,هائل تحدث فيه تفاعلات نوويه تصل درجة الحرارة
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1278x127 at 0x7557B4242950>,ذَهَبَ نُوح مُظَفَّر ضِرْغام بِصُحْبَةِ رَؤُوف بِن لؤي رايق ظافِر,"{'text': 'نوح مظفًر ضرغام بصحبة رؤوف بن لؤي رايق ظافر ذهب', 'time': 0.06848335266113281}","{'text': ""لَفْر ضرغام بصُخبَّةِ رَزُوف بن لؤى رايق ظافِر\n> م هم ل ىو 0 تيصكحيد ' 1 د\nذهَبَ نوح ممُظفر ضِرْغام بِصُخبَةِ رَوُوف بن لؤىي\n"", 'time': 0.13788080215454102}",success,نوح مظفًر ضرغام بصحبة رؤوف بن لؤي رايق ظافر ذهب,0.06848335266113281,نوح مظفر ضرغام بصحبة رؤوف بن لؤي رايق ظافر ذهب,لَفْر ضرغام بصُخبَّةِ رَزُوف بن لؤى رايق ظافِر > م هم ل ىو 0 تيصكحيد ' 1 د ذهَبَ نوح ممُظفر ضِرْغام بِصُخبَةِ رَوُوف بن لؤىي,0.13788080215454102,لفر ضرغام بصخبة رزوف بن لؤى رايق ظافر > م هم ل ىو 0 تيصكحيد ' 1 د ذهب نوح ممظفر ضرغام بصخبة رووف بن لؤىي,ذهب نوح مظفر ضرغام بصحبة رؤوف بن لؤي رايق ظافر
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1572x217 at 0x7557B46F4A10>,الَّتِي تُسَكِّنها القَبائِلِ المتبديه، وَتَقَع فِي شَمالها وَفِي,"{'text': 'وتقع ( المتبديه تسكدنها التي شمالها القبائل وفي في', 'time': 0.16631436347961426}","{'text': '|| أيها \u200e٠\u200f | أله اك || \u200e١\u200f مم 8 6 [| | هذ\n2 0 7 ( ذ\n- 8 ا 8 4 و ( 8 و ىيى\n', 'time': 0.15008258819580078}",success,وتقع ( المتبديه تسكدنها التي شمالها القبائل وفي في,0.16631436347961426,وتقع ( المتبديه تسكدنها التي شمالها القبائل وفي في,|| أيها ‎٠‏ | أله اك || ‎١‏ مم 8 6 [| | هذ 2 0 7 ( ذ - 8 ا 8 4 و ( 8 و ىيى,0.15008258819580078,|| أيها ‎٠‏ | أله اك || ‎١‏ مم 8 6 [| | هذ 2 0 7 ( ذ - 8 ا 8 4 و ( 8 و ىيى,التي تسكنها القبائل المتبديه، وتقع في شمالها وفي
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=889x126 at 0x7557E425B250>,بِلُبّ شاعِرِ الصِينِ الكَبِيرِ لِيَ بِأَيّ فِي زَمَنٍ,"{'text': '_ الصين الكبير لتي بأتي في بلب شاعر زمن', 'time': 0.08480167388916016}","{'text': 'نْب شاعر الصِين الكبير لي بأ فِي رَمَنِ\n', 'time': 0.07716679573059082}",success,_ الصين الكبير لتي بأتي في بلب شاعر زمن,0.08480167388916016,_ الصين الكبير لتي بأتي في بلب شاعر زمن,نْب شاعر الصِين الكبير لي بأ فِي رَمَنِ,0.07716679573059082,نب شاعر الصين الكبير لي بأ في رمن,بلب شاعر الصين الكبير لي بأي في زمن
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1202x148 at 0x7557802B1490>,أَنَّنا فِي الحج. هَل تَعْلَم فائِدَةٍ الكَلِماتُ التالِيَة لِهٰذا النَصِّ,"{'text': 'هل ثغل فائدة الكلمات التالية لهذا آننا ي النص الحج .', 'time': 0.09597969055175781}","{'text': 'تنا ق الحج. كل تَفلّم فَائِدَةٍ الكَلِماتٌ التاليّة إييذا التض\n', 'time': 0.1003715991973877}",success,هل ثغل فائدة الكلمات التالية لهذا آننا ي النص الحج .,0.09597969055175781,هل ثغل فائدة الكلمات التالية لهذا آننا ي النص الحج .,تنا ق الحج. كل تَفلّم فَائِدَةٍ الكَلِماتٌ التاليّة إييذا التض,0.1003715991973877,تنا ق الحج. كل تفلم فائدة الكلمات التالية إييذا التض,أننا في الحج. هل تعلم فائدة الكلمات التالية لهذا النص
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1124x309 at 0x75578008E290>,أَساسِيَّةٍ ،وتدربهم عَلَى تَوَلِّي,"{'text': 'ل أس ا سبيًة وتدربه غلى ثولي', 'time': 0.0947122573852539}","{'text': 'أساسييّة ,وتدربهم عَلى توي\n', 'time': 0.08216452598571777}",success,ل أس ا سبيًة وتدربه غلى ثولي,0.0947122573852539,ل أس ا سبية وتدربه غلى ثولي,"أساسييّة ,وتدربهم عَلى توي",0.08216452598571777,"أساسيية ,وتدربهم على توي",أساسية ،وتدربهم على تولي
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1262x139 at 0x755780164210>,مَعَ البِيئَةِ اليابانِيَّةِ وَخُصُوصِيَّتها الثقافيه. كَما تَضَمَّنَ مَشْرُوعِ,"{'text': 'مع البيئة اليابانية وخصوصيتها الثقافيه . كما تضمن مشدوع', 'time': 0.08674907684326172}","{'text': 'مَعَْ البِيئّةِ اليابانِيَّة وَخْصُوصِيّتها الثقافيه. كما تَضَمَّنَ مَشْرُوع\n', 'time': 0.08317756652832031}",success,مع البيئة اليابانية وخصوصيتها الثقافيه . كما تضمن مشدوع,0.08674907684326172,مع البيئة اليابانية وخصوصيتها الثقافيه . كما تضمن مشدوع,مَعَْ البِيئّةِ اليابانِيَّة وَخْصُوصِيّتها الثقافيه. كما تَضَمَّنَ مَشْرُوع,0.08317756652832031,مع البيئة اليابانية وخصوصيتها الثقافيه. كما تضمن مشروع,مع البيئة اليابانية وخصوصيتها الثقافيه. كما تضمن مشروع
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1251x140 at 0x75578019E650>,عَمَلٍ مُؤَرَّخ الجاهليه، يَنْطَبِق أَيْضاً عَلَى أَهَمِّيَّةً شَعَرَ,"{'text': 'مؤرخ الجاهليه ينطبق آيضا على أهميةةً عمل شعر', 'time': 0.08447861671447754}","{'text': 'مَل مُؤَرَخْ الجاهليه. يَنطبق أَيْضا عَلى أَهَمَيّة\n', 'time': 0.0705118179321289}",success,مؤرخ الجاهليه ينطبق آيضا على أهميةةً عمل شعر,0.08447861671447754,مؤرخ الجاهليه ينطبق آيضا على أهميةة عمل شعر,مَل مُؤَرَخْ الجاهليه. يَنطبق أَيْضا عَلى أَهَمَيّة,0.0705118179321289,مل مؤرخ الجاهليه. ينطبق أيضا على أهمية,عمل مؤرخ الجاهليه، ينطبق أيضا على أهمية شعر
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1036x155 at 0x755780059710>,وَقَد ذَهَبَ بِعَضُّهُم إِلَى إِن العَرَبِيَّةِ الشَرْقِيَّةِ كانَت,"{'text': 'بعضهم إلى إن العربية الشرقية كانت وقد ذهب', 'time': 0.08237791061401367}","{'text': 'ع د م 7 5\nود ذَهَبِ بِعَضّْهُم إلى إن العربيّةِ الشَرْقِبّةِ كاتت\n', 'time': 0.09891772270202637}",success,بعضهم إلى إن العربية الشرقية كانت وقد ذهب,0.08237791061401367,بعضهم إلى إن العربية الشرقية كانت وقد ذهب,ع د م 7 5 ود ذَهَبِ بِعَضّْهُم إلى إن العربيّةِ الشَرْقِبّةِ كاتت,0.09891772270202637,ع د م 7 5 ود ذهب بعضهم إلى إن العربية الشرقبة كاتت,وقد ذهب بعضهم إلى إن العربية الشرقية كانت
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1189x132 at 0x7557FA010710>,الأَساسِيُّ لِلطاقَةِ وَمِنها تَسْتَمِدّ الأَرْضِ الحَرارَةِ الَّتِي تَحْتاجها,"{'text': 'للطاقة ومنها تستًمد الأؤص الحرارة التي تختاجها الأساسي', 'time': 0.07303071022033691}","{'text': 'الأسايٌ للطاقة ومِنها َسحَمِد الأزض المراة الي تختاجها\n', 'time': 0.08298707008361816}",success,للطاقة ومنها تستًمد الأؤص الحرارة التي تختاجها الأساسي,0.07303071022033691,للطاقة ومنها تستمد الأؤص الحرارة التي تختاجها الأساسي,الأسايٌ للطاقة ومِنها َسحَمِد الأزض المراة الي تختاجها,0.08298707008361816,الأساي للطاقة ومنها سحمد الأزض المراة الي تختاجها,الأساسي للطاقة ومنها تستمد الأرض الحرارة التي تحتاجها
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1534x156 at 0x7557C0181B50>,مَعْهَدِ كونفوشيوس فِي جامِعَةِ قَناةِ السويس، أَقامَهُ مُنْتَدَى,"{'text': ' كونفوشيوس في جايتة فناة السوبس أقاته مشى', 'time': 0.06240200996398926}","{'text': ' ', 'time': 0.04040718078613281}",success,كونفوشيوس في جايتة فناة السوبس أقاته مشى,0.06240200996398926,كونفوشيوس في جايتة فناة السوبس أقاته مشى,,0.04040718078613281,,معهد كونفوشيوس في جامعة قناة السويس، أقامه منتدى
