,image,ground_truth,tesseract,easyocr,ground_truth_t,tesseract_t,easyocr_t
16,<PIL.Image.Image image mode=RGB size=928x75 at 0x7FA1F91A1950>,"أما إني لم أفارقه ولكن سمعته يقول من كذب علي فليتبوأ مقعده من النار
","أما إن لم أفارقه ولكن معته يقول من كذب علي فليتبوأ مقعده من النار
",النا مقعده علي ولكن سمعته يقول من أما إني أفارقه كذب فليتبو,"أما إني لم أفارقه ولكن سمعته يقول من كذب علي فليتبوأ مقعده من النار
","أما إن لم أفارقه ولكن معته يقول من كذب علي فليتبوأ مقعده من النار
",النا مقعده علي ولكن سمعته يقول من أما إني أفارقه كذب فليتبو
17,<PIL.Image.Image image mode=RGB size=1511x83 at 0x7FA36AAB0790>,"كنا نؤمر أن نخرج يوم العيد حتى نخرج البكر من خدرها حتى نخرج الحيض فيكن خلف الناس
","كنا نؤمر أن نخرج يوم العيد حتى نخرج البكر من خدرها حتى نخرج الحيض فيكن خلف الناس
",ها حتى نخرج الحيض فيكن خلف حتى نخرج البكر من يوم كنا نؤمر أن الناس العيد خدر نخرج,"كنا نؤمر أن نخرج يوم العيد حتى نخرج البكر من خدرها حتى نخرج الحيض فيكن خلف الناس
","كنا نؤمر أن نخرج يوم العيد حتى نخرج البكر من خدرها حتى نخرج الحيض فيكن خلف الناس
",ها حتى نخرج الحيض فيكن خلف حتى نخرج البكر من يوم كنا نؤمر أن الناس العيد خدر نخرج
18,<PIL.Image.Image image mode=RGB size=1512x83 at 0x7FA1F9122250>,"محصور فقال إنك إمام عامة ونزل بك ما ترى ويصلي لنا إمام فتنة ونتحرج فقال الصلاة أحسن
","محصور فقال إنك إمام عامة ونزل بك ما ترى ويصلي لنا إمام فتنة ونتحرج فقال الصلاة أحسن
",محصور فقال إنك إمام عامة ونزل بك ماترى ويصلي لنا إمام فتنة ونتحرج فقال الصلاة أحسن,"محصور فقال إنك إمام عامة ونزل بك ما ترى ويصلي لنا إمام فتنة ونتحرج فقال الصلاة أحسن
","محصور فقال إنك إمام عامة ونزل بك ما ترى ويصلي لنا إمام فتنة ونتحرج فقال الصلاة أحسن
",محصور فقال إنك إمام عامة ونزل بك ماترى ويصلي لنا إمام فتنة ونتحرج فقال الصلاة أحسن
19,<PIL.Image.Image image mode=RGB size=1219x105 at 0x7FA1F91A2190>,"فشربت حتى إني لأرى الري يخرج في أظفاري ثم أعطيت فضلي عمر بن الخطاب قالوا فما أولته يا
","فشررت حتى إني لارى الري يخرح في أظفاري ثم اعطيت فضلي عمر بن الخطاب قالوا فما أولله با
",بن الخطاب قالوا فما أولته  فضلي فشربت حتى إني لأرى الري يخرج في أعطيت أظفاري عمر,"فشربت حتى إني لأرى الري يخرج في أظفاري ثم أعطيت فضلي عمر بن الخطاب قالوا فما أولته يا
","فشررت حتى إني لارى الري يخرح في أظفاري ثم اعطيت فضلي عمر بن الخطاب قالوا فما أولله با
",بن الخطاب قالوا فما أولته  فضلي فشربت حتى إني لأرى الري يخرج في أعطيت أظفاري عمر
20,<PIL.Image.Image image mode=RGB size=1340x103 at 0x7FA1F9112E10>,"عن النبي صلى الله عليه وسلم قال كانت بنو إسرائيل يغتسلون عراة ينظر بعضهم إلى بعض وكان
","عن الني صلى اله عليم وسلرقال كانت ينو إسرائل يغسلون عر ينظى بعضه م إلى بعض كان
",إسرائيل يغنسلون عراة ينظ بعضهم إلى بعض وكان النبي صلى اللا عليد وسلمر قال كاد انت بنو,"عن النبي صلى الله عليه وسلم قال كانت بنو إسرائيل يغتسلون عراة ينظر بعضهم إلى بعض وكان
","عن الني صلى اله عليم وسلرقال كانت ينو إسرائل يغسلون عر ينظى بعضه م إلى بعض كان
",إسرائيل يغنسلون عراة ينظ بعضهم إلى بعض وكان النبي صلى اللا عليد وسلمر قال كاد انت بنو
21,<PIL.Image.Image image mode=RGB size=1534x83 at 0x7FA1F91A0810>,"شن معلقة فتوضأ منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم
","55 معلقة فتوضأ منها فأحسن وضوهه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم
",وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم شن معلقة فتوضأ منها فأحسن,"شن معلقة فتوضأ منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم
","55 معلقة فتوضأ منها فأحسن وضوهه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم
",وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم شن معلقة فتوضأ منها فأحسن
22,<PIL.Image.Image image mode=RGB size=1469x83 at 0x7FA1F91A28D0>,"عبد الله بن شداد قال سمعت ميمونة تقول كان النبي صلى الله عليه وسلم يصلي وأنا إلى جنبه
",,صلى الله عليه وسلم يصلي وأنا إلى جنبه تقول كان الله بن شداد قال سمعت علد النبي ميمونة,"عبد الله بن شداد قال سمعت ميمونة تقول كان النبي صلى الله عليه وسلم يصلي وأنا إلى جنبه
",,صلى الله عليه وسلم يصلي وأنا إلى جنبه تقول كان الله بن شداد قال سمعت علد النبي ميمونة
23,<PIL.Image.Image image mode=RGB size=1151x77 at 0x7FA1F913BD10>,"مغيرة جعل يصب الماء عليه وهو يتوضأ فغسل وجهه ويديه ومسح برأسه ومسح على الخفين
","مغيرة جعل يصب الماء عليه وهو يتوضأ فغسل وجهه ويديه ومسح برأسه ومسم على الخفين
",فغسل وجهه ويديه ومسح برأسه ومسح على الخفين ة جعل يصب الماء عليه وهو يتوضأ مغير,"مغيرة جعل يصب الماء عليه وهو يتوضأ فغسل وجهه ويديه ومسح برأسه ومسح على الخفين
","مغيرة جعل يصب الماء عليه وهو يتوضأ فغسل وجهه ويديه ومسح برأسه ومسم على الخفين
",فغسل وجهه ويديه ومسح برأسه ومسح على الخفين ة جعل يصب الماء عليه وهو يتوضأ مغير
24,<PIL.Image.Image image mode=RGB size=1134x77 at 0x7FA1F91A0D90>,"عليه وسلم كان يصلي قبل الظهر ركعتين وبعدها ركعتين وبعد المغرب ركعتين في بيته وبعد
","عليه وسلم كان يصلي قبل الظهر ركعتين وبعدها ركعتين وبعد المغرب ركعتين في بيته وبعد
",ركعتين وبعد المغرب ركعتين في بيته وبعد ركعتين عليه وسلم كان يصلي قبل وبعدها الظهر,"عليه وسلم كان يصلي قبل الظهر ركعتين وبعدها ركعتين وبعد المغرب ركعتين في بيته وبعد
","عليه وسلم كان يصلي قبل الظهر ركعتين وبعدها ركعتين وبعد المغرب ركعتين في بيته وبعد
",ركعتين وبعد المغرب ركعتين في بيته وبعد ركعتين عليه وسلم كان يصلي قبل وبعدها الظهر
25,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1247x75 at 0x7FA1F91A93D0>,"أيوب الأنصاري قال قال رسول الله صلى الله عليه وسلم إذا أتى أحدكم الغائط فلا يستقبل القبلة
","أيوب الأنصاري قال قال رسول الله صلى الله عليه وسلم إذا أتى أحدكم الغائط فلا يستقبل القبلة
",الغائط فلا يستقبل القبلة أيوب الأنصاري قال قال رسول الله صلى الله عليه وسلم إذا أتى أحدكم,"أيوب الأنصاري قال قال رسول الله صلى الله عليه وسلم إذا أتى أحدكم الغائط فلا يستقبل القبلة
","أيوب الأنصاري قال قال رسول الله صلى الله عليه وسلم إذا أتى أحدكم الغائط فلا يستقبل القبلة
",الغائط فلا يستقبل القبلة أيوب الأنصاري قال قال رسول الله صلى الله عليه وسلم إذا أتى أحدكم
26,<PIL.Image.Image image mode=RGB size=1954x60 at 0x7FA1F91A9490>,"بن عبد الرحمن أن أبا هريرة قال سمعت رسول الله صلى الله عليه وسلم يقول تفضل صلاة الجميع
",,بن عبد الرحمن أن أبا هريرة قال سمعت رسول الله صلى الله عليه وسله يقول تفضل صلاة الجميع,"بن عبد الرحمن أن أبا هريرة قال سمعت رسول الله صلى الله عليه وسلم يقول تفضل صلاة الجميع
",,بن عبد الرحمن أن أبا هريرة قال سمعت رسول الله صلى الله عليه وسله يقول تفضل صلاة الجميع
27,<PIL.Image.Image image mode=RGB size=1505x57 at 0x7FA1F913A3D0>,"فقال ألا وقول الزور فما زال يكررها وقال بن عمر قال النبي صلى الله عليه وسلم هل بلغت ثلاثا
","فقال ألا وقول الزور فما زال يكررها وقال بن عمر قال النبي صلى الله عليه وسلم هل بلغت ثلاثا
",صلى الله عليه وسلم هل بلغت ثلاثا قال فقال ألا وقول الزور فمازال يكررها وقال بن النبي عمر,"فقال ألا وقول الزور فما زال يكررها وقال بن عمر قال النبي صلى الله عليه وسلم هل بلغت ثلاثا
","فقال ألا وقول الزور فما زال يكررها وقال بن عمر قال النبي صلى الله عليه وسلم هل بلغت ثلاثا
",صلى الله عليه وسلم هل بلغت ثلاثا قال فقال ألا وقول الزور فمازال يكررها وقال بن النبي عمر
28,<PIL.Image.Image image mode=RGB size=1629x83 at 0x7FA1F91A1C10>,"يقول سمعت أبا هريرة يقول قال رسول الله صلى الله عليه وسلم صلاة الرجل في الجماعة تضعف على
","يقول سمعت أبا هريرة يقول قال رسول الله صلى الله عليه وسلم صلاة الرجل في الجماعة تضعف على
",يقول سمعت أبا هريرة يقول قال رسول الله صلى الله عليه وسلم صلاة الرجل في الجماعة تضعف على,"يقول سمعت أبا هريرة يقول قال رسول الله صلى الله عليه وسلم صلاة الرجل في الجماعة تضعف على
","يقول سمعت أبا هريرة يقول قال رسول الله صلى الله عليه وسلم صلاة الرجل في الجماعة تضعف على
",يقول سمعت أبا هريرة يقول قال رسول الله صلى الله عليه وسلم صلاة الرجل في الجماعة تضعف على
29,<PIL.Image.Image image mode=RGB size=1855x60 at 0x7FA1FB381FD0>,"بتور من ماء فكفأ على يديه فغسلهما ثلاث مرار ثم أدخل يده في التور فمضمض واستنثر ثلاث
","بتور من ماء فكفأً على يديه فغسلهما ثلاث مرار تم أدخل يده فى التور فمضمض واستنتر ثلاث
",فمضمض واستنثر ثلاث بتورمن ماء فكفأعلى يديه فغسلهما ثلاث مرارثه أدخل يده فى التور,"بتور من ماء فكفأ على يديه فغسلهما ثلاث مرار ثم أدخل يده في التور فمضمض واستنثر ثلاث
","بتور من ماء فكفأ على يديه فغسلهما ثلاث مرار تم أدخل يده فى التور فمضمض واستنتر ثلاث
",فمضمض واستنثر ثلاث بتورمن ماء فكفأعلى يديه فغسلهما ثلاث مرارثه أدخل يده فى التور
30,<PIL.Image.Image image mode=RGB size=1886x60 at 0x7FA1F91AA010>,"محمد أن عباد بن تميم أخبره أن عبد الله بن زيد الأنصاري أخبره أن النبي صلى الله عليه وسلم
","محمد أن عباد بن تميم أخبره أن عبد الله بن زيد الأنصاري أخبره أن الننى صلى الله عليه وسلم
",أن النبى صلى الله عليه وسله أن عبد الله بن زيد الأنصاري محمدأن عباد بن تميه أخبره أخبره,"محمد أن عباد بن تميم أخبره أن عبد الله بن زيد الأنصاري أخبره أن النبي صلى الله عليه وسلم
","محمد أن عباد بن تميم أخبره أن عبد الله بن زيد الأنصاري أخبره أن الننى صلى الله عليه وسلم
",أن النبى صلى الله عليه وسله أن عبد الله بن زيد الأنصاري محمدأن عباد بن تميه أخبره أخبره
31,<PIL.Image.Image image mode=RGB size=1102x83 at 0x7FA1F91A2750>,"وسلم كان في سفر فقرأ في العشاء في إحدى الركعتين بالتين والزيتون
","وسلم كان في سفر فقرأ في العشاء في إحدى الركعتين بالتين والزيتون
",في العشاء في إحدى الركعتين بالتين والزيتون في سفر فقر رسم كان,"وسلم كان في سفر فقرأ في العشاء في إحدى الركعتين بالتين والزيتون
","وسلم كان في سفر فقرأ في العشاء في إحدى الركعتين بالتين والزيتون
",في العشاء في إحدى الركعتين بالتين والزيتون في سفر فقر رسم كان
32,<PIL.Image.Image image mode=RGB size=1017x103 at 0x7FA207334390>,"الرجال والنساء يتوضؤون في زمان رسول الله صلى الله عليه وسلم جميعا
","الرجال والساء موضؤون ف زمانٌ -رسول اكد صلى اد علي وسابرجيعا
",لدا عليد وسلم ججيعا الرجال والنساء ينوضؤون في زمان رسول انلد اصلى,"الرجال والنساء يتوضؤون في زمان رسول الله صلى الله عليه وسلم جميعا
","الرجال والساء موضؤون ف زمان -رسول اكد صلى اد علي وسابرجيعا
",لدا عليد وسلم ججيعا الرجال والنساء ينوضؤون في زمان رسول انلد اصلى
33,<PIL.Image.Image image mode=RGB size=1285x77 at 0x7FA1F91AA690>,"ثم عرج بي حتى ظهرت لمستوى أسمع فيه صريف الأقلام قال بن حزم وأنس بن مالك قال النبي صلى
","ثم عرج بي حتى ظهرت لمستوى أسمع فيه صريف الأقلام قال بن حزم وأنس بن مالك قال النبي صلى
",صلى قال بن حزم وأنس بن مالك قال فيه صريف بي حتى ظهرت لمستوى أسمع الأقلام النبي,"ثم عرج بي حتى ظهرت لمستوى أسمع فيه صريف الأقلام قال بن حزم وأنس بن مالك قال النبي صلى
","ثم عرج بي حتى ظهرت لمستوى أسمع فيه صريف الأقلام قال بن حزم وأنس بن مالك قال النبي صلى
",صلى قال بن حزم وأنس بن مالك قال فيه صريف بي حتى ظهرت لمستوى أسمع الأقلام النبي
34,<PIL.Image.Image image mode=RGB size=1525x57 at 0x7FA1F91AA590>,"الأرض ثم عاد إلى المنبر ثم ركع ثم رفع رأسه ثم رجع القهقري حتى سجد بالأرض فهذا شأنه قال
","الأرض ثم عاد إلى المنبر ثم ركع ثم رفع رأسه ثم رجع القهقري حتى سجد بالأآرض فهذا شأنه قال
",عاد إلى المنبرثم ركع ثم رفع رأسه ثم رجع القهقري حتى سجد بالأرض فهذا شأنه قال الأرض,"الأرض ثم عاد إلى المنبر ثم ركع ثم رفع رأسه ثم رجع القهقري حتى سجد بالأرض فهذا شأنه قال
","الأرض ثم عاد إلى المنبر ثم ركع ثم رفع رأسه ثم رجع القهقري حتى سجد بالأآرض فهذا شأنه قال
",عاد إلى المنبرثم ركع ثم رفع رأسه ثم رجع القهقري حتى سجد بالأرض فهذا شأنه قال الأرض
35,<PIL.Image.Image image mode=RGB size=1122x105 at 0x7FA1F91A99D0>,"نفرتهم وأيس من الإيمان قال ردوهم علي وقال إني قلت مقالتي آنفا أختبر بها شدتكم على
","فرتهم ونس من الإمان قال ردوهم علي وقال إني قلت ممَالتي آنا أخّبر بها شد نكم على
",_ بها شدتكم نفرتهم وأس من الإيمان قال ردوهم علي وقال إني قلت مقالتي آنفا أختبر على,"نفرتهم وأيس من الإيمان قال ردوهم علي وقال إني قلت مقالتي آنفا أختبر بها شدتكم على
","فرتهم ونس من الإمان قال ردوهم علي وقال إني قلت ممالتي آنا أخبر بها شد نكم على
",_ بها شدتكم نفرتهم وأس من الإيمان قال ردوهم علي وقال إني قلت مقالتي آنفا أختبر على
