,image,ground_truth,tesseract,easyocr,ground_truth_t,tesseract_t,easyocr_t
10,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=886x160 at 0x7BF63B89DD10>,تأثرت بلغة بني إرم، فكتبت بها، كما فعل,"320 مك ىن .زر 8 فكت )كا ضْ
","تاثرت العذابني برم , فكثبت بجاء كما فعل",تأثرت بلغة بني إرم، فكتبت بها، كما فعل,"320 مك ىن .زر 8 فكت )كا ض
","تاثرت العذابني برم , فكثبت بجاء كما فعل"
11,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1018x167 at 0x7BF63B89E150>,تَكُون فارسيه، لِأَنَّ الفُرْسُ مجوس، وَالمَجُوس لا يَعْتَقِدُونَ,"تَكون فارسيه. لنَ الفُْش مجوسء وَالَجُوس لا يَعْتَقِدُون
",مجوس والمجوس لا يغتًقدون فادسيه لآنً تكون الفرس,تكون فارسيه، لأن الفرس مجوس، والمجوس لا يعتقدون,"تكون فارسيه. لن الفش مجوسء والجوس لا يعتقدون
",مجوس والمجوس لا يغتقدون فادسيه لآن تكون الفرس
12,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=316x109 at 0x7BF63B89E590>,العربيه،,"بريه

+ «ه»
",العربيه,العربيه،,"بريه

+ «ه»
",العربيه
13,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1457x152 at 0x7BF63B89E9D0>,المِيلادِيِّ بِمُقْتَضَى قَوانِينِ القَوْط الغَرْبِيِّينَ عَلَى حَقِّهِم فِي,"ليلاده؛ بِمفْتَكَى قَوانِينِ القَؤط العَْبِيينَ على حَقيم فى
",ق ي البلادي بمقتضى قوانين القوط الغرزبيين على,الميلادي بمقتضى قوانين القوط الغربيين على حقهم في,"ليلاده؛ بمفتكى قوانين القؤط العبيين على حقيم فى
",ق ي البلادي بمقتضى قوانين القوط الغرزبيين على
14,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=3188x292 at 0x7BF63B89EE50>,تَتَحَمَّل المَسْؤُولِيَّةِ المُتَعَلِّقَةِ بِخُطَّة التحريري. وَفَضَّلا عَن ذٰلِكَ,"اميد م هم خر ‏ ين ميات نر ين ص ين - ‎١‏ صم
48 ١ه ‎٠‏ ١ه‏ +"" ه ‎٠‏
‏تحمل المسؤولية المتعلقة مخطة التحريري. وفضلا عن ذلك
",/ ل  > *ر / ل /// وفضلا عن ذلك المتعلقة لمخطة تتحمل المسؤولية التحريري,تتحمل المسؤولية المتعلقة بخطة التحريري. وفضلا عن ذلك,"اميد م هم خر ‏ ين ميات نر ين ص ين - ‎١‏ صم
48 ١ه ‎٠‏ ١ه‏ +"" ه ‎٠‏
‏تحمل المسؤولية المتعلقة مخطة التحريري. وفضلا عن ذلك
",/ ل  > *ر / ل /// وفضلا عن ذلك المتعلقة لمخطة تتحمل المسؤولية التحريري
15,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1216x126 at 0x7BF63B89F290>,استعمل القدماء حجاره البراكين في البناء، ولا يزال,"9 2 يعاد
متحهحد درب
م
ئ
‎١‏ كيوخحكى شنار
+4
مرا
6
يمحىاره
م١‏
ب
",شممل القوماءحجاره لبراكيذغي لبناء ( ددديزال,استعمل القدماء حجاره البراكين في البناء، ولا يزال,"9 2 يعاد
متحهحد درب
م
ئ
‎١‏ كيوخحكى شنار
+4
مرا
6
يمحىاره
م١‏
ب
",شممل القوماءحجاره لبراكيذغي لبناء ( ددديزال
16,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1295x168 at 0x7BF63B89F810>,"أَو ثلثه؛ حَسَبَ خُصُوبَة الموسم, وَفِي نِهايَةِ الحِصاد","أو ثلثه؛ حَسَتَ 2 ضوئة الموسم., وَفِي نهاية الحصاد
","الموم , وفي نهاية الحصاد أو ثلث  : كلب خصصوبة","أو ثلثه؛ حسب خصوبة الموسم, وفي نهاية الحصاد","أو ثلثه؛ حست 2 ضوئة الموسم., وفي نهاية الحصاد
","الموم , وفي نهاية الحصاد أو ثلث  : كلب خصصوبة"
17,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1440x119 at 0x7BF63B8A0110>,"بِالرُجُوعِ إِلَى مُؤَلِّفات ""الهمداني"" وَغَيْرِهِ مِن عُلَماءِ اليَمَنِ","بالزجُوع إلى مُؤلفات ""الهمداني"" وَعَئْرِهِ مِن عُلَماءٍ التِمَنِ
","من بالرجوع إلى فؤلفات "" الهمداني "" علماء وغيره اليقن","بالرجوع إلى مؤلفات ""الهمداني"" وغيره من علماء اليمن","بالزجوع إلى مؤلفات ""الهمداني"" وعئره من علماء التمن
","من بالرجوع إلى فؤلفات "" الهمداني "" علماء وغيره اليقن"
18,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1118x166 at 0x7BF63B8A0E90>,الأَعْضاءِ فِي اِتِّحادِ المَغْرِبِ العَرَبِيِّ يرنامجا دُونِ اقليمي.,": ن اقليمي.
نامجا دون
1 العَرَى مر:
غضاءٍ فى اتحاد المغرب لَعَرَوٍ
‎٠ 5‏ ظُ أ
الا 1 هه
",يرنامجا في اتحاد ء الأغضا المغرب دون اقليمي . العري,الأعضاء في اتحاد المغرب العربي يرنامجا دون اقليمي.,": ن اقليمي.
نامجا دون
1 العرى مر:
غضاء فى اتحاد المغرب لعرو
‎٠ 5‏ ظ أ
الا 1 هه
",يرنامجا في اتحاد ء الأغضا المغرب دون اقليمي . العري
19,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1264x140 at 0x7BF63844C090>,هائِلٌ تَحَدَّثَ فِيهِ تَفاعُلاتٌ نَوَوِيّه تَصِل دَرَجَةِ الحَرارَةِ,"دَرَحة

جة

-

ا
",تصل درجة القرارق هائل تقدًثً  فيو تفاغلات نوويه,هائل تحدث فيه تفاعلات نوويه تصل درجة الحرارة,"درحة

جة

-

ا
",تصل درجة القرارق هائل تقدث  فيو تفاغلات نوويه
20,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1278x127 at 0x7BF63844C2D0>,ذَهَبَ نُوح مُظَفَّر ضِرْغام بِصُحْبَةِ رَؤُوف بِن لؤي رايق ظافِر,"لَفْر ضرغام بصُخبَّةِ رَزُوف بن لؤى رايق ظافِر
> م هم ل ىو 0 تيصكحيد ' 1 د
ذهَبَ نوح ممُظفر ضِرْغام بِصُخبَةِ رَوُوف بن لؤىي
",نوح مظفًر ضرغام بصحبة رؤوف بن لؤي رايق ظافر ذهب,ذهب نوح مظفر ضرغام بصحبة رؤوف بن لؤي رايق ظافر,"لفر ضرغام بصخبة رزوف بن لؤى رايق ظافر
> م هم ل ىو 0 تيصكحيد ' 1 د
ذهب نوح ممظفر ضرغام بصخبة رووف بن لؤىي
",نوح مظفر ضرغام بصحبة رؤوف بن لؤي رايق ظافر ذهب
21,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1572x217 at 0x7BF63844CD50>,الَّتِي تُسَكِّنها القَبائِلِ المتبديه، وَتَقَع فِي شَمالها وَفِي,"|| أيها ‎٠‏ | أله اك || ‎١‏ مم 8 6 [| | هذ
2 0 7 ( ذ
- 8 ا 8 4 و ( 8 و ىيى
",وتقع ( المتبديه تسكدنها التي شمالها القبائل وفي في,التي تسكنها القبائل المتبديه، وتقع في شمالها وفي,"|| أيها ‎٠‏ | أله اك || ‎١‏ مم 8 6 [| | هذ
2 0 7 ( ذ
- 8 ا 8 4 و ( 8 و ىيى
",وتقع ( المتبديه تسكدنها التي شمالها القبائل وفي في
22,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=889x126 at 0x7BF63A6A0150>,بِلُبّ شاعِرِ الصِينِ الكَبِيرِ لِيَ بِأَيّ فِي زَمَنٍ,"نْب شاعر الصِين الكبير لي بأ فِي رَمَنِ
",_ الصين الكبير لتي بأتي في بلب شاعر زمن,بلب شاعر الصين الكبير لي بأي في زمن,"نب شاعر الصين الكبير لي بأ في رمن
",_ الصين الكبير لتي بأتي في بلب شاعر زمن
23,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1202x148 at 0x7BF63A6A08D0>,أَنَّنا فِي الحج. هَل تَعْلَم فائِدَةٍ الكَلِماتُ التالِيَة لِهٰذا النَصِّ,"تنا ق الحج. كل تَفلّم فَائِدَةٍ الكَلِماتٌ التاليّة إييذا التض
",هل ثغل فائدة الكلمات التالية لهذا آننا ي النص الحج .,أننا في الحج. هل تعلم فائدة الكلمات التالية لهذا النص,"تنا ق الحج. كل تفلم فائدة الكلمات التالية إييذا التض
",هل ثغل فائدة الكلمات التالية لهذا آننا ي النص الحج .
24,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1124x309 at 0x7BF63A6A03D0>,أَساسِيَّةٍ ،وتدربهم عَلَى تَوَلِّي,"أساسييّة ,وتدربهم عَلى توي
",ل أس ا سبيًة وتدربه غلى ثولي,أساسية ،وتدربهم على تولي,"أساسيية ,وتدربهم على توي
",ل أس ا سبية وتدربه غلى ثولي
25,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1262x139 at 0x7BF63A6A09D0>,مَعَ البِيئَةِ اليابانِيَّةِ وَخُصُوصِيَّتها الثقافيه. كَما تَضَمَّنَ مَشْرُوعِ,"مَعَْ البِيئّةِ اليابانِيَّة وَخْصُوصِيّتها الثقافيه. كما تَضَمَّنَ مَشْرُوع
",مع البيئة اليابانية وخصوصيتها الثقافيه . كما تضمن مشدوع,مع البيئة اليابانية وخصوصيتها الثقافيه. كما تضمن مشروع,"مع البيئة اليابانية وخصوصيتها الثقافيه. كما تضمن مشروع
",مع البيئة اليابانية وخصوصيتها الثقافيه . كما تضمن مشدوع
26,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1251x140 at 0x7BF63A6A1CD0>,عَمَلٍ مُؤَرَّخ الجاهليه، يَنْطَبِق أَيْضاً عَلَى أَهَمِّيَّةً شَعَرَ,"مَل مُؤَرَخْ الجاهليه. يَنطبق أَيْضا عَلى أَهَمَيّة
",مؤرخ الجاهليه ينطبق آيضا على أهميةةً عمل شعر,عمل مؤرخ الجاهليه، ينطبق أيضا على أهمية شعر,"مل مؤرخ الجاهليه. ينطبق أيضا على أهمية
",مؤرخ الجاهليه ينطبق آيضا على أهميةة عمل شعر
27,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1036x155 at 0x7BF63A6A1FD0>,وَقَد ذَهَبَ بِعَضُّهُم إِلَى إِن العَرَبِيَّةِ الشَرْقِيَّةِ كانَت,"ع د م 7 5
ود ذَهَبِ بِعَضّْهُم إلى إن العربيّةِ الشَرْقِبّةِ كاتت
",بعضهم إلى إن العربية الشرقية كانت وقد ذهب,وقد ذهب بعضهم إلى إن العربية الشرقية كانت,"ع د م 7 5
ود ذهب بعضهم إلى إن العربية الشرقبة كاتت
",بعضهم إلى إن العربية الشرقية كانت وقد ذهب
28,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1189x132 at 0x7BF63A6A2950>,الأَساسِيُّ لِلطاقَةِ وَمِنها تَسْتَمِدّ الأَرْضِ الحَرارَةِ الَّتِي تَحْتاجها,"الأسايٌ للطاقة ومِنها َسحَمِد الأزض المراة الي تختاجها
",للطاقة ومنها تستًمد الأؤص الحرارة التي تختاجها الأساسي,الأساسي للطاقة ومنها تستمد الأرض الحرارة التي تحتاجها,"الأساي للطاقة ومنها سحمد الأزض المراة الي تختاجها
",للطاقة ومنها تستمد الأؤص الحرارة التي تختاجها الأساسي
29,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1534x156 at 0x7BF63A6A2E90>,مَعْهَدِ كونفوشيوس فِي جامِعَةِ قَناةِ السويس، أَقامَهُ مُنْتَدَى,, كونفوشيوس في جايتة فناة السوبس أقاته مشى,معهد كونفوشيوس في جامعة قناة السويس، أقامه منتدى,, كونفوشيوس في جايتة فناة السوبس أقاته مشى
30,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1002x132 at 0x7BF63A6A34D0>,سِتَّ وَعِشْرِينَ دَرَجَةِ غَرْباً وَاِثْنَتانِ وَثَلاثِينَ,"ست * وَعِشْرِين خرجة غَزْباً واثتنانٍ وثلائين
",وعشرين ذرجة غزبأ واثنتان وثلاثين ليىت,ست وعشرين درجة غربا واثنتان وثلاثين,"ست * وعشرين خرجة غزبا واثتنان وثلائين
",وعشرين ذرجة غزبأ واثنتان وثلاثين ليىت
31,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1978x251 at 0x7BF63A6A3A50>,فِي الفُرَصِ وَيَحِقّ لِلطُلّابِ ذَوِي المُتَطَلَّباتِ التَعْلِيمِيَّةِ الخاصَّةِ,"قي الفرصر وَبَحق لاخللاب ذوى الفتحلليات الَفْليعيّة الخاصيّة
",_ القرص وبحق للطللائ ذوي المتططلبات الأفلإمبة الخاصة,في الفرص ويحق للطلاب ذوي المتطلبات التعليمية الخاصة,"قي الفرصر وبحق لاخللاب ذوى الفتحلليات الفليعية الخاصية
",_ القرص وبحق للطللائ ذوي المتططلبات الأفلإمبة الخاصة
32,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=929x115 at 0x7BF63A6A3F50>,وَذٰلِكَ بِمَدِينَة شانغْهاي تَبْلُغ سَعَة التَخْزِين لَقُرْص الأَشِعَّة,"محأويمةبتة دملعتواء لجا دمطة لتأرين أخرص النمضة
",آً م الألشحة وذء بمدنة لشانعهاو نئتبلج لسعة  اتذزبن,وذلك بمدينة شانغهاي تبلغ سعة التخزين لقرص الأشعة,"محأويمةبتة دملعتواء لجا دمطة لتأرين أخرص النمضة
",آ م الألشحة وذء بمدنة لشانعهاو نئتبلج لسعة  اتذزبن
33,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=613x123 at 0x7BF63A6A1C10>,إِلّا أَنَّهُ لَم يَتَمَكَّن مَعَ ذٰلِكَ مِن العَضّ,,ذلل ين العض إتا أنهم بتكن تع,إلا أنه لم يتمكن مع ذلك من العض,,ذلل ين العض إتا أنهم بتكن تع
34,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=234x99 at 0x7BF63A610750>,الأُخْرَى,"اكيم
",اأ خآع .,الأخرى,"اكيم
",اأ خآع .
35,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=881x134 at 0x7BF63A610BD0>,أَمّا الكروم، فَقَد غَرَسَت فِي مَناطِقِ مِن الجَزِيرَةِ,"5

مها الكروم. فقد غُرّسَت فِي مناطق من الجزيرَة
",في قناطق من الجزيرة آقا الكروم فقد غرست,أما الكروم، فقد غرست في مناطق من الجزيرة,"5

مها الكروم. فقد غرست في مناطق من الجزيرة
",في قناطق من الجزيرة آقا الكروم فقد غرست
36,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=934x135 at 0x7BF63A611390>,التَرْبِيَةِ والتكوين، حَظِيَ بِدَعْمٍ قَوِيٍّ مِن قِبَلَ أَعْلَى,"التَرْبِيَةِ والتكوين. حَظِيَ بِدَغْمٍ قَوي من قِبَلَ أغلى
",من قبل بدعم قويً التربية والتكوين . أغلى خظي,التربية والتكوين، حظي بدعم قوي من قبل أعلى,"التربية والتكوين. حظي بدغم قوي من قبل أغلى
",من قبل بدعم قوي التربية والتكوين . أغلى خظي
37,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1045x153 at 0x7BF63A6119D0>,الرِيفِيّات اللّاتِي عَمِلْنَ فِي المُدُنِ وَاللّاتِي لَم يُغادِرْنَ,"- 38
",واللآاتي لم يغادزن غملن الريفيات الفدن اللاتي في,الريفيات اللاتي عملن في المدن واللاتي لم يغادرن,"- 38
",واللآاتي لم يغادزن غملن الريفيات الفدن اللاتي في
38,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1322x444 at 0x7BF63A611B10>,وَأَشارُوا فِي حَدِيثهم إِلَى أَنَّ مُسْتَوَياتٍ,"وَأَشارُوا ني حَدبئهم إلى أَنّ مُسْتَوَيات
",في خديثهم إلى أن آ  أشاروا مستويات,وأشاروا في حديثهم إلى أن مستويات,"وأشاروا ني حدبئهم إلى أن مستويات
",في خديثهم إلى أن آ  أشاروا مستويات
39,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=859x196 at 0x7BF63A611A50>,مَرْحَلَةِ التَعْلِيمِ الثانَوِيِّ,"مَرْعَلَةِ التكليى الثاتوج
", مرمله التنليم الثانواي,مرحلة التعليم الثانوي,"مرعلة التكليى الثاتوج
", مرمله التنليم الثانواي
40,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=862x113 at 0x7BF63A612B90>,العَرِيقِ وَالحاضِر المُفِيدِ وَالمُسْتَقْبَلِ المَشْرِقِ,"القريق والحاضر المُفِيدٍ وَالمُسْئَفْبَلٍ القشرق
",القريق والحاضر الففيد والفسثًقبل القشرق,العريق والحاضر المفيد والمستقبل المشرق,"القريق والحاضر المفيد والمسئفبل القشرق
",القريق والحاضر الففيد والفسثقبل القشرق
41,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=769x135 at 0x7BF63A612B10>,أَخِيرا لَم تَكُن جَمِيعُها نُصُوصاً حميريه,"ع

أخيرا لم تَكُن جَمِيعُها نُصُوِ
",أخيرا لم تكن جميعها نصوصاً حميريه,أخيرا لم تكن جميعها نصوصا حميريه,"ع

أخيرا لم تكن جميعها نصو
",أخيرا لم تكن جميعها نصوصا حميريه
42,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1104x124 at 0x7BF63A613890>,وَتَوَّهَ الرَئِيسِ إِلَى أَهَمِّيَّةً دَعْمِ العُمّالِ الفَلّاحَيْنِ العائِدِينَ,"هَمُّبَةَ هَمبَةَ دغم العْمَالٍ القَلَاحَيْنِ العائديت
",العائدين دغم الفقال وتوة الرئيس إل أهميًةً الفلاحين,وتوه الرئيس إلى أهمية دعم العمال الفلاحين العائدين,"همبة همبة دغم العمال القلاحين العائديت
",العائدين دغم الفقال وتوة الرئيس إل أهمية الفلاحين
43,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1286x137 at 0x7BF63A613E90>,طَبَّقَت عَلَى الأَشْجارِ خِلالَ فَتْرَةٍ الدراسه، حَيْثُ اِعْتَمَدَ,"طابقا اللقلات 1 الاي الألاشهالبا ا .االا|ة! 114ئلا ىلا8 الحم اس.. البلا ت 1 الا ءلانلاءلادة
",اسلهادا دآا٥ فآءا_آ ة[ الد داسه _اءات ٥ا٥ _2ت٥مآد٥ طابااقلات ٥|٥ والأار,طبقت على الأشجار خلال فترة الدراسه، حيث اعتمد,"طابقا اللقلات 1 الاي الألاشهالبا ا .االا|ة! 114ئلا ىلا8 الحم اس.. البلا ت 1 الا ءلانلاءلادة
",اسلهادا دآا٥ فآءا_آ ة[ الد داسه _اءات ٥ا٥ _2ت٥مآد٥ طابااقلات ٥|٥ والأار
44,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1314x158 at 0x7BF63A613C90>,وَطُرُقِ الإِنْتاجِ بِأَدْنَى مُسْتَوَياتٍ الحراثه، حَيْثُ كانَت العَلاقَةِ,"ع ار لير 3 َه سا تراه سم ع ةا اع - - -
",// ٥ 4 الإنتاج بأدنى مستويات الحراثهء حيث كانت العلاقة وطرق,وطرق الإنتاج بأدنى مستويات الحراثه، حيث كانت العلاقة,"ع ار لير 3 ه سا تراه سم ع ةا اع - - -
",// ٥ 4 الإنتاج بأدنى مستويات الحراثهء حيث كانت العلاقة وطرق
45,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1341x156 at 0x7BF63A678450>,عُمَر الأَشْجارِ مِن أَجْلِ تَجْدِيدِ شَباب الأَشْجارِ وَتَحْسِينِ,"ار من أجل ديد سَباب الأنجار وَتسينِ
الاك نديد شاب حار سير
عمر الا تجار من اجلي مجديد شباب الا تجار
",أجل تجديد شباب الأشجار من الأشجار وتحسين عمر,عمر الأشجار من أجل تجديد شباب الأشجار وتحسين,"ار من أجل ديد سباب الأنجار وتسين
الاك نديد شاب حار سير
عمر الا تجار من اجلي مجديد شباب الا تجار
",أجل تجديد شباب الأشجار من الأشجار وتحسين عمر
46,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1224x177 at 0x7BF63A678C10>,كِتابِ الأَخ الأُسْتاذ / عَلَى مُصْطَفَى المصراتي ،,"كتاب الأخ الأشتاذ / عَلَى مُضْطَفَى المصراتي .
",كتاب الأًخ الألستاذ على مضطفى المصراتي,كتاب الأخ الأستاذ / على مصطفى المصراتي ،,"كتاب الأخ الأشتاذ / على مضطفى المصراتي .
",كتاب الأخ الألستاذ على مضطفى المصراتي
47,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1074x151 at 0x7BF63A679010>,كانَ أَبْخَل مِن بَرّاً اللّٰه وَأَطْيَب مِن بَرّاً,"9
١

كان أَبخَل مِن بَرَا الانه وَأَظيّب من بز
",من براً اللله وأفيب من براً حال أبخل,كان أبخل من برا الله وأطيب من برا,"9
١

كان أبخل من برا الانه وأظيب من بز
",من برا اللله وأفيب من برا حال أبخل
48,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=576x170 at 0x7BF63A6797D0>,مُشْتَقّه مِن فِعْلٍ شائِع,,مشتقه من فعل شائع,مشتقه من فعل شائع,,مشتقه من فعل شائع
49,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=666x141 at 0x7BF63A679DD0>,عِلْماً لَقَوْمِيّه فِي الشِعْرِ الجاهِلِيّ,"عِلْماً لَقَوْمِيّه في الشغر الجاهِلِيّ
",علماً لقوميه في الشفر الجاهلي,علما لقوميه في الشعر الجاهلي,"علما لقوميه في الشغر الجاهلي
",علما لقوميه في الشفر الجاهلي
