,image,ground_truth,qari,ground_truth_t,qari_t
10,<PIL.Image.Image image mode=RGB size=2002x60 at 0x79EB340775D0>,وجهه ويديه وغسل رأسه ثم صب على جسده ثم تنحى فغسل قدميه فناولته خرقة فقال بيده هكذا,وجهه ويديه وغسل رأسه ثم صب على جسده فناولته خرقة فقال بيده هكذا,وجهه ويديه وغسل رأسه ثم صب على جسده ثم تنحى فغسل قدميه فناولته خرقة فقال بيده هكذا,وجهه ويديه وغسل رأسه ثم صب على جسده فناولته خرقة فقال بيده هكذا
11,<PIL.Image.Image image mode=RGB size=1457x57 at 0x79EB3F4F6B10>,الكتاب آمن بنبيه وآمن بمحمد صلى الله عليه وسلم والعبد المملوك إذا أدى حق الله وحق مواليه,لكتاب آمن بنبيه وأمن بمحمد صلى الله عليه وسلم والعبد المملوك إذا أدى حق الله وحق مواليه,الكتاب آمن بنبيه وآمن بمحمد صلى الله عليه وسلم والعبد المملوك إذا أدى حق الله وحق مواليه,لكتاب آمن بنبيه وأمن بمحمد صلى الله عليه وسلم والعبد المملوك إذا أدى حق الله وحق مواليه
12,<PIL.Image.Image image mode=RGB size=1259x77 at 0x79EB3410B6D0>,إن الذي تطلب أمامك قام النبي صلى الله عليه وسلم خطيبا صبيحة عشرين من رمضان فقال من كان,إن الذي تطلب أمامك قام النبي صلى الله عليه وسلم خطيبا صبيحة عشرين من رمضان فقال من كان,إن الذي تطلب أمامك قام النبي صلى الله عليه وسلم خطيبا صبيحة عشرين من رمضان فقال من كان,إن الذي تطلب أمامك قام النبي صلى الله عليه وسلم خطيبا صبيحة عشرين من رمضان فقال من كان
13,<PIL.Image.Image image mode=RGB size=1318x103 at 0x79EB3410B990>,فرفع يديه حين يكبر حتى يجعلهما حذو منكبيه وإذا كبر للركوع فعل مثله وإذا قال سمع الله,فرفع يديما حين يكبر حنى تجعلهما حذو منحكيبما وإذا أكبر للن كوع فعل مثلما وإذا قال سمع ا الله,فرفع يديه حين يكبر حتى يجعلهما حذو منكبيه وإذا كبر للركوع فعل مثله وإذا قال سمع الله,فرفع يديما حين يكبر حنى تجعلهما حذو منحكيبما وإذا أكبر للن كوع فعل مثلما وإذا قال سمع ا الله
14,<PIL.Image.Image image mode=RGB size=1424x83 at 0x79EB3F629010>,النبي صلى الله عليه وسلم يا بني سلمة ألا تحتسبون آثاركم وقال مجاهد في قوله ونكتب ما,النبي صلى الله عليه وسلم يا بني سلمة ألا تحتسبون آثاركم وقال مجاهد في قوله ونكتب ما,النبي صلى الله عليه وسلم يا بني سلمة ألا تحتسبون آثاركم وقال مجاهد في قوله ونكتب ما,النبي صلى الله عليه وسلم يا بني سلمة ألا تحتسبون آثاركم وقال مجاهد في قوله ونكتب ما
15,<PIL.Image.Image image mode=RGB size=1416x77 at 0x79EB3410BE90>,فبينا النبي صلى الله عليه وسلم يخطب في يوم جمعة قام أعرابي فقال يا رسول الله هلك الماء,نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم,فبينا النبي صلى الله عليه وسلم يخطب في يوم جمعة قام أعرابي فقال يا رسول الله هلك الماء,نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم جمعة قام أعرابيي فقال يا رسول الله ملك الماء نبينا النبيي صلى الله عليه وسلم ينطبج فيي يوم
16,<PIL.Image.Image image mode=RGB size=928x75 at 0x79EB3410BC90>,أما إني لم أفارقه ولكن سمعته يقول من كذب علي فليتبوأ مقعده من النار,أما إني لم أفارقه ولكن سمعته يقول من كذب علي فليتبوا مقعده من النار,أما إني لم أفارقه ولكن سمعته يقول من كذب علي فليتبوأ مقعده من النار,أما إني لم أفارقه ولكن سمعته يقول من كذب علي فليتبوا مقعده من النار
17,<PIL.Image.Image image mode=RGB size=1511x83 at 0x79EB3410BF50>,كنا نؤمر أن نخرج يوم العيد حتى نخرج البكر من خدرها حتى نخرج الحيض فيكن خلف الناس,كنا نؤمر أن نخرج يوم العيد حتى نخرج البكر من خدرها حتى نخرج الحيض فيكن خلف الناس,كنا نؤمر أن نخرج يوم العيد حتى نخرج البكر من خدرها حتى نخرج الحيض فيكن خلف الناس,كنا نؤمر أن نخرج يوم العيد حتى نخرج البكر من خدرها حتى نخرج الحيض فيكن خلف الناس
18,<PIL.Image.Image image mode=RGB size=1512x83 at 0x79EB3410B790>,محصور فقال إنك إمام عامة ونزل بك ما ترى ويصلي لنا إمام فتنة ونتحرج فقال الصلاة أحسن,محصور فقال إنك إمام عامة ونزل بك ما ترى ويصلي لنا إمام فتنة ونتحرج فقال الصلاة أحسن,محصور فقال إنك إمام عامة ونزل بك ما ترى ويصلي لنا إمام فتنة ونتحرج فقال الصلاة أحسن,محصور فقال إنك إمام عامة ونزل بك ما ترى ويصلي لنا إمام فتنة ونتحرج فقال الصلاة أحسن
19,<PIL.Image.Image image mode=RGB size=1219x105 at 0x79EB3410A250>,فشربت حتى إني لأرى الري يخرج في أظفاري ثم أعطيت فضلي عمر بن الخطاب قالوا فما أولته يا,فشرت حتى إنني لأرى الري يخرج في أظفاري ثم أعطيت فضلمي عمر بن الخطاب قالوا فما أولته يا,فشربت حتى إني لأرى الري يخرج في أظفاري ثم أعطيت فضلي عمر بن الخطاب قالوا فما أولته يا,فشرت حتى إنني لأرى الري يخرج في أظفاري ثم أعطيت فضلمي عمر بن الخطاب قالوا فما أولته يا
20,<PIL.Image.Image image mode=RGB size=1340x103 at 0x79EB34109F50>,عن النبي صلى الله عليه وسلم قال كانت بنو إسرائيل يغتسلون عراة ينظر بعضهم إلى بعض وكان,عن النبي صلى الله عليه وسلم قال كات بنو إسرائيل يغسلون عرابة ينظل بعضهم إلى بعض وكان,عن النبي صلى الله عليه وسلم قال كانت بنو إسرائيل يغتسلون عراة ينظر بعضهم إلى بعض وكان,عن النبي صلى الله عليه وسلم قال كات بنو إسرائيل يغسلون عرابة ينظل بعضهم إلى بعض وكان
21,<PIL.Image.Image image mode=RGB size=1534x83 at 0x79EB3410B090>,شن معلقة فتوضأ منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم,تكن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضاً منها فأحسن وضوءه ثم قام يصلي قال بن عباس,شن معلقة فتوضأ منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم,تكن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم ثمن معلقة فتوضا منها فأحسن وضوءه ثم قام يصلي قال بن عباس
22,<PIL.Image.Image image mode=RGB size=1469x83 at 0x79EB34119350>,عبد الله بن شداد قال سمعت ميمونة تقول كان النبي صلى الله عليه وسلم يصلي وأنا إلى جنبه,​,عبد الله بن شداد قال سمعت ميمونة تقول كان النبي صلى الله عليه وسلم يصلي وأنا إلى جنبه,​
23,<PIL.Image.Image image mode=RGB size=1151x77 at 0x79EB341196D0>,مغيرة جعل يصب الماء عليه وهو يتوضأ فغسل وجهه ويديه ومسح برأسه ومسح على الخفين,مغيرة جعل يصب الماء عليه وهو يتوضأ فغسل وجهه ويدييه ومسح برأسه ومسح على الخفين,مغيرة جعل يصب الماء عليه وهو يتوضأ فغسل وجهه ويديه ومسح برأسه ومسح على الخفين,مغيرة جعل يصب الماء عليه وهو يتوضأ فغسل وجهه ويدييه ومسح برأسه ومسح على الخفين
24,<PIL.Image.Image image mode=RGB size=1134x77 at 0x79EB34119950>,عليه وسلم كان يصلي قبل الظهر ركعتين وبعدها ركعتين وبعد المغرب ركعتين في بيته وبعد,عليه وسلم كان يصلي قبل الظهر ركعتين وبعدها ركعتين وبعدها ركعتين في بيتته وبعد,عليه وسلم كان يصلي قبل الظهر ركعتين وبعدها ركعتين وبعد المغرب ركعتين في بيته وبعد,عليه وسلم كان يصلي قبل الظهر ركعتين وبعدها ركعتين وبعدها ركعتين في بيتته وبعد
25,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1247x75 at 0x79EB34119ED0>,أيوب الأنصاري قال قال رسول الله صلى الله عليه وسلم إذا أتى أحدكم الغائط فلا يستقبل القبلة,أبو بوب الأنصاري قال قال رسول الله صلى الله عليه و سلم إذا أتى أحدكم الغائط فلا يستقبل القبلة,أيوب الأنصاري قال قال رسول الله صلى الله عليه وسلم إذا أتى أحدكم الغائط فلا يستقبل القبلة,أبو بوب الأنصاري قال قال رسول الله صلى الله عليه و سلم إذا أتى أحدكم الغائط فلا يستقبل القبلة
26,<PIL.Image.Image image mode=RGB size=1954x60 at 0x79EB34119E90>,بن عبد الرحمن أن أبا هريرة قال سمعت رسول الله صلى الله عليه وسلم يقول تفضل صلاة الجميع,بين عبد الرحمن أن أبا هريرة قال سمعت رسول الله صلى الله عليه وسلم يقول تفضل صلاة الجميع,بن عبد الرحمن أن أبا هريرة قال سمعت رسول الله صلى الله عليه وسلم يقول تفضل صلاة الجميع,بين عبد الرحمن أن أبا هريرة قال سمعت رسول الله صلى الله عليه وسلم يقول تفضل صلاة الجميع
27,<PIL.Image.Image image mode=RGB size=1505x57 at 0x79EC5DE2E690>,فقال ألا وقول الزور فما زال يكررها وقال بن عمر قال النبي صلى الله عليه وسلم هل بلغت ثلاثا,قال ألا وقول الزور فما زال يكررها وقال بن عمر قال النبي صلى الله عليه وسلم هل بلغت ثلاثا,فقال ألا وقول الزور فما زال يكررها وقال بن عمر قال النبي صلى الله عليه وسلم هل بلغت ثلاثا,قال ألا وقول الزور فما زال يكررها وقال بن عمر قال النبي صلى الله عليه وسلم هل بلغت ثلاثا
