,image,ground_truth,qwenv2.5_3B,ground_truth_t,qwenv2.5_3B_t
129,<PIL.Image.Image image mode=RGB size=1126x83 at 0x7B405DEFE650>,"وأصيبوا من الطيب قال بن عباس أما الغسل فنعم وأما الطيب فلا أدري
","""من أصيل كان بين عباده أم العصر نعم وأما أصيل فلا روي""

    :

""     ,        ,     ,      .""","وأصيبوا من الطيب قال بن عباس أما الغسل فنعم وأما الطيب فلا أدري
","""من أصيل كان بين عباده أم العصر نعم وأما أصيل فلا روي""

    :

""     ,        ,     ,      ."""
130,<PIL.Image.Image image mode=RGB size=1114x105 at 0x7B405DF1F1D0>,"بن مالك قال كان النبي صلى الله عليه وسلم يدور على نسائه في الساعة الواحدة من الليل
",في ما أنتَ قال كان النبي صلى الله عليه وسلم يُدْرِج على نسائه في الساعة الواحدة من الليل,"بن مالك قال كان النبي صلى الله عليه وسلم يدور على نسائه في الساعة الواحدة من الليل
",في ما أنت قال كان النبي صلى الله عليه وسلم يدرج على نسائه في الساعة الواحدة من الليل
131,<PIL.Image.Image image mode=RGB size=1229x75 at 0x7B405DF1F450>,"حدثنا بهز بن أسد قال حدثنا شعبة قال أخبرني سعد بن إبراهيم قال سمعت حفص بن عاصم قال
","        :

""حدثنا كرم بن أسد قال حدثني سعيد بن رواي ابيه قال دمت حفص عن عاصم قال""

  :

""     ,        :    ,       '   ,     .'""

         ()           ,       .","حدثنا بهز بن أسد قال حدثنا شعبة قال أخبرني سعد بن إبراهيم قال سمعت حفص بن عاصم قال
","        :

""حدثنا كرم بن أسد قال حدثني سعيد بن رواي ابيه قال دمت حفص عن عاصم قال""

  :

""     ,        :    ,       '   ,     .'""

         ()           ,       ."
132,<PIL.Image.Image image mode=RGB size=1403x83 at 0x7B405DF1F850>,"أعلم لكي ينفذ من ينصرف من النساء وقال بن أبي مريم أخبرنا نافع بن يزيد قال أخبرني
","'       :

أعد كي يتناسب من بينصرف من أنسهم وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يج","أعلم لكي ينفذ من ينصرف من النساء وقال بن أبي مريم أخبرنا نافع بن يزيد قال أخبرني
","'       :

أعد كي يتناسب من بينصرف من أنسهم وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يجتهد في أكله وقل أن يج"
133,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1485x77 at 0x7B405DF27BD0>,"العصر حتى كادت الشمس أن تغيب فقال النبي صلى الله عليه وسلم وأنا والله ما صليتها بعد قال
","        :

الإجابة الصحيحة هي:
(1) 240
(2) 360
(3) 480
(4) 600

الحل:
(1) 240 = 12 × 20
(2) 360 = 12 × 30
(3) 480 = 12 × 40
(4) 600 = 12 × 50","العصر حتى كادت الشمس أن تغيب فقال النبي صلى الله عليه وسلم وأنا والله ما صليتها بعد قال
","        :

الإجابة الصحيحة هي:
(1) 240
(2) 360
(3) 480
(4) 600

الحل:
(1) 240 = 12 × 20
(2) 360 = 12 × 30
(3) 480 = 12 × 40
(4) 600 = 12 × 50"
134,<PIL.Image.Image image mode=RGB size=1939x60 at 0x7B405DF27B90>,"بالعراق فدخل عليه أبو مسعود الأنصاري فقال ما هذا يا مغيرة أليس قد علمت أن جبريل صلى الله
","""العربية""","بالعراق فدخل عليه أبو مسعود الأنصاري فقال ما هذا يا مغيرة أليس قد علمت أن جبريل صلى الله
","""العربية"""
135,<PIL.Image.Image image mode=RGB size=2015x60 at 0x7B405DF17ED0>,"النبي صلى الله عليه وسلم قال من حوسب عذب قالت عائشة فقلت أو ليس يقول الله تعالى فسوف
",العربية هي اللغة الرسمية للدولة، وتعتبر اللغة العربية من اللغات القديمة والمتعددة الأصيلات، وهي تشمل العديد من اللغات التي تمتد عبر التاريخ، مثل العربية الفصحى واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة,"النبي صلى الله عليه وسلم قال من حوسب عذب قالت عائشة فقلت أو ليس يقول الله تعالى فسوف
",العربية هي اللغة الرسمية للدولة، وتعتبر اللغة العربية من اللغات القديمة والمتعددة الأصيلات، وهي تشمل العديد من اللغات التي تمتد عبر التاريخ، مثل العربية الفصحى واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة العربية المعاصرة، واللغة
136,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1466x57 at 0x7B405DF30510>,"وعن عمرة عن عائشة أم المؤمنين رضى الله عنها زوج النبي صلى الله عليه وسلم أن أم حبيبة
","العربية

   """"  .","وعن عمرة عن عائشة أم المؤمنين رضى الله عنها زوج النبي صلى الله عليه وسلم أن أم حبيبة
","العربية

   """"  ."
137,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1444x77 at 0x7B405DF30750>,"جعلتمونا كلابا لقد رأيت النبي صلى الله عليه وسلم يصلي وإني لبينه وبين القبلة وأنا مضطجعة
","""العربية""","جعلتمونا كلابا لقد رأيت النبي صلى الله عليه وسلم يصلي وإني لبينه وبين القبلة وأنا مضطجعة
","""العربية"""
138,<PIL.Image.Image image mode=RGB size=1089x103 at 0x7B405DF27950>,"باب إذا قام الرجل عن يسار الإمام وحوله الإمام خلفه إلى يمينه تمت صلاته
","""إذاً إذاً قام الرجل عن ليسانه إلا مرحومه، إلا مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، م","باب إذا قام الرجل عن يسار الإمام وحوله الإمام خلفه إلى يمينه تمت صلاته
","""إذا إذا قام الرجل عن ليسانه إلا مرحومه، إلا مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، مرحومه، م"
139,<PIL.Image.Image image mode=RGB size=1979x60 at 0x7B4090188A50>,"الآيات من سورة البقرة في الربا خرج النبي صلى الله عليه وسلم إلى المسجد فقرأهن على الناس
","العربية هي اللغة الرسمية للبلاد

   ""       ""  .","الآيات من سورة البقرة في الربا خرج النبي صلى الله عليه وسلم إلى المسجد فقرأهن على الناس
","العربية هي اللغة الرسمية للبلاد

   ""       ""  ."
140,<PIL.Image.Image image mode=RGB size=1524x60 at 0x7B405DF09010>,"ماء وعنزة يستنجي بالماء تابعه النضر وشاذان عن شعبة العنزة عصا عليه زج
","العربية: ""لقد كان هناك ملك قديم يدعى جي وله أخوه جادا. قال الملك جي للملك جادا: 'أنا سأبني قصرًا كبيرًا في هذا المكان'.""","ماء وعنزة يستنجي بالماء تابعه النضر وشاذان عن شعبة العنزة عصا عليه زج
","العربية: ""لقد كان هناك ملك قديم يدعى جي وله أخوه جادا. قال الملك جي للملك جادا: 'أنا سأبني قصرا كبيرا في هذا المكان'."""
141,<PIL.Image.Image image mode=RGB size=1937x60 at 0x7B409B341210>,"إلى موسى فقالوا والله ما بموسى من بأس وأخذ ثوبه فطفق بالحجر ضربا فقال أبو هريرة والله إنه
","العربية هي اللغة الرسمية للبلاد

   ""       ""  .","إلى موسى فقالوا والله ما بموسى من بأس وأخذ ثوبه فطفق بالحجر ضربا فقال أبو هريرة والله إنه
","العربية هي اللغة الرسمية للبلاد

   ""       ""  ."
142,<PIL.Image.Image image mode=RGB size=1904x60 at 0x7B405DF094D0>,"قبل الخطبة ثم يخطب بعد خرج النبي صلى الله عليه وسلم كأني أنظر إليه حين يجلس بيده ثم
","الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ

   ""      ,     .""","قبل الخطبة ثم يخطب بعد خرج النبي صلى الله عليه وسلم كأني أنظر إليه حين يجلس بيده ثم
","الحمد لله رب العالمين

   ""      ,     ."""
143,<PIL.Image.Image image mode=RGB size=1281x75 at 0x7B405DF260D0>,"بن شهاب حدث أن عبيد الله بن عبد الله أخبره عن بن عباس أنه تمارى هو والحر بن قيس بن حصن
",الحُسن، أنَّ عِبد الله أُخْرَجَ عَنِ النَّبِيِّ صلى الله عليه وسلم، وَشَهِدَتْ حَدَثٌ أَعْيَدَهُ أَنَّهُ أُخْرَجَ عَنِ النَّبِيِّ صلى الله عليه وسلم، وَشَهِدَتْ حَدَثٌ أَعْيَدَهُ أَنَّهُ أُخْرَجَ عَنِ النَّبِيِّ صلى الله عليه وسلم، وَشَهِدَتْ حَدَثٌ أَعْيَدَهُ أَنَّهُ أُخْرَجَ عَنِ النَّبِيِّ صلى الله عليه وسلم، وَشَهِدَتْ حَدَثٌ أَعْيَدَهُ أَنَّهُ أُخْرَجَ عَنِ النَّبِيِّ صلى الله عليه وسلم، وَشَهِدَتْ حَدَثٌ أَعْيَدَهُ أَنَّهُ أُخْرَجَ عَنِ النَّبِيِّ صلى الله عليه وسلم، وَشَهِدَتْ حَدَثٌ أَعْيَدَهُ أَنَّهُ أُخْرَجَ عَنِ النَّبِيِّ صلى الله عليه وسلم، وَشَهِدَتْ حَدَثٌ أَعْيَدَهُ أَنَّهُ أُخْرَجَ عَنِ النَّبِيِّ صلى الله عليه وسلم، وَشَهِدَتْ حَدَثٌ أَعْيَدَهُ أَنَّهُ أُخْرَجَ عَنِ النَّبِيِّ صلى الله عليه وسلم، وَشَهِدَتْ حَدَثٌ أَعْيَدَهُ أَنَّهُ أُخْرَجَ عَنِ النَّبِيِّ صلى الله عليه وسلم، وَشَهِدَتْ حَدَثٌ أَعْيَدَهُ أَنَّهُ أُخْرَجَ عَنِ النَّبِيِّ صلى الله عليه وسلم، وَشَهِدَتْ حَدَثٌ أَعْيَدَهُ أَنَّهُ أُخْرَجَ عَنِ النَّبِيِّ صلى الله عليه وسلم، وَشَهِدَتْ حَدَثٌ أَعْيَدَهُ أَنَّهُ أُخْرَجَ عَنِ النَّبِيِّ صلى الله عليه وسلم، وَشَهِدَتْ حَدَثٌ أَعْيَدَهُ أَنَّهُ أُخْرَجَ عَنِ النَّبِيِّ صلى الله عليه وسلم، وَشَهِدَتْ حَدَثٌ أَعْيَدَهُ أَنَّهُ أُخْرَجَ عَنِ النَّبِيِّ صلى الله عليه وسلم، وَشَهِدَتْ حَدَثٌ أَعْيَدَهُ أَنَّهُ أُخْرَجَ عَنِ النَّبِيِّ صلى الله عليه وسلم، وَشَهِدَتْ حَدَثٌ أَعْيَدَهُ أَنَّهُ أُخْرَجَ عَنِ النَّبِيِّ صلى الله عليه وسلم، وَشَهِدَتْ حَدَثٌ أَعْيَدَهُ أَنَّهُ أُخْرَجَ ع,"بن شهاب حدث أن عبيد الله بن عبد الله أخبره عن بن عباس أنه تمارى هو والحر بن قيس بن حصن
",الحسن، أن عبد الله أخرج عن النبي صلى الله عليه وسلم، وشهدت حدث أعيده أنه أخرج عن النبي صلى الله عليه وسلم، وشهدت حدث أعيده أنه أخرج عن النبي صلى الله عليه وسلم، وشهدت حدث أعيده أنه أخرج عن النبي صلى الله عليه وسلم، وشهدت حدث أعيده أنه أخرج عن النبي صلى الله عليه وسلم، وشهدت حدث أعيده أنه أخرج عن النبي صلى الله عليه وسلم، وشهدت حدث أعيده أنه أخرج عن النبي صلى الله عليه وسلم، وشهدت حدث أعيده أنه أخرج عن النبي صلى الله عليه وسلم، وشهدت حدث أعيده أنه أخرج عن النبي صلى الله عليه وسلم، وشهدت حدث أعيده أنه أخرج عن النبي صلى الله عليه وسلم، وشهدت حدث أعيده أنه أخرج عن النبي صلى الله عليه وسلم، وشهدت حدث أعيده أنه أخرج عن النبي صلى الله عليه وسلم، وشهدت حدث أعيده أنه أخرج عن النبي صلى الله عليه وسلم، وشهدت حدث أعيده أنه أخرج عن النبي صلى الله عليه وسلم، وشهدت حدث أعيده أنه أخرج عن النبي صلى الله عليه وسلم، وشهدت حدث أعيده أنه أخرج عن النبي صلى الله عليه وسلم، وشهدت حدث أعيده أنه أخرج عن النبي صلى الله عليه وسلم، وشهدت حدث أعيده أنه أخرج ع
144,<PIL.Image.Image image mode=RGB size=1427x57 at 0x7B405DF099D0>,"وسلم عندها في ليلتها فصلى النبي صلى الله عليه وسلم العشاء ثم جاء إلى منزله فصلى أربع
","""العربية""","وسلم عندها في ليلتها فصلى النبي صلى الله عليه وسلم العشاء ثم جاء إلى منزله فصلى أربع
","""العربية"""
145,<PIL.Image.Image image mode=RGB size=1436x57 at 0x7B405DF31AD0>,"أدنى مر الظهران قبل المدينة حين يهبط من الصفراوات ينزل في بطن ذلك المسيل عن يسار
",الْعَلَّامَةُ مُحَمَّدٌ عَلِيُّ بنُ حَسَنٍ,"أدنى مر الظهران قبل المدينة حين يهبط من الصفراوات ينزل في بطن ذلك المسيل عن يسار
",العلامة محمد علي بن حسن
146,<PIL.Image.Image image mode=RGB size=1221x60 at 0x7B405DF31D90>,"من أمر بحمل السلاح في يوم لا يحل فيه حمله يعني الحجاج
","""الساعة ٢٠:١٥""","من أمر بحمل السلاح في يوم لا يحل فيه حمله يعني الحجاج
","""الساعة ٢٠:١٥"""
147,<PIL.Image.Image image mode=RGB size=1258x105 at 0x7B405DF32050>,"إسرائيل إذ جاءه رجل فقال أتعلم أحدا أعلم منك قال موسى لا فأوحى الله عز وجل إلى موسى بلى
","'       :

إِنَّمَا أَنَا رَجُلٌ مُّتَّهَمٌ، حَلَّا أَعْلَمُ مَنْكُمْ فَأَنَا مُوسَىٰ لَا أُزْحِي إِذَا عَرَضَتْ إِلَيْهِمْ دَعْوَةً","إسرائيل إذ جاءه رجل فقال أتعلم أحدا أعلم منك قال موسى لا فأوحى الله عز وجل إلى موسى بلى
","'       :

إنما أنا رجل متهم، حلا أعلم منكم فأنا موسى لا أزحي إذا عرضت إليهم دعوة"
148,<PIL.Image.Image image mode=RGB size=1404x103 at 0x7B405DF32310>,"فلما أصبح ولم يسمع أذانا ركب وركبت خلف أبي طلحة وإن قدمي لتمس قدم النبي صلى الله عليه
","        :

عندما صحيح في شيء معين لا يُمكن تحليقه في طاعة فإن قتيم يُلمس فيه صدى العين","فلما أصبح ولم يسمع أذانا ركب وركبت خلف أبي طلحة وإن قدمي لتمس قدم النبي صلى الله عليه
","        :

عندما صحيح في شيء معين لا يمكن تحليقه في طاعة فإن قتيم يلمس فيه صدى العين"
149,<PIL.Image.Image image mode=RGB size=928x57 at 0x7B405DF0A750>,"ولا أنقص قال رسول الله صلى الله عليه وسلم أفلح إن صدق
","""صدى الله صلى عليه وسلم أن يرسول الله صلى عليه وسلم أن يُصلى عليه وسلم""

    :

""   (   )       (   )      .""","ولا أنقص قال رسول الله صلى الله عليه وسلم أفلح إن صدق
","""صدى الله صلى عليه وسلم أن يرسول الله صلى عليه وسلم أن يصلى عليه وسلم""

    :

""   (   )       (   )      ."""
150,<PIL.Image.Image image mode=RGB size=1145x77 at 0x7B405DF32850>,"معه فكبر وكبروا معه وركع وركع ناس منهم ثم سجد وسجدوا معه ثم قام للثانية فقام الذين
","        :

""لقد تذكرت أنك قد ساعدتني في البحث عن معلومات حول هذا الموضوع، وشكرتك على مساعدةك.""","معه فكبر وكبروا معه وركع وركع ناس منهم ثم سجد وسجدوا معه ثم قام للثانية فقام الذين
","        :

""لقد تذكرت أنك قد ساعدتني في البحث عن معلومات حول هذا الموضوع، وشكرتك على مساعدةك."""
